Unnamed: 0,PageNo,Text
37,page_38,"['2016N298481_02', 'CONFIDENTIAL', '205270', '5.4.', 'Scientific Rationale for Study Design', 'This study has a 28-week Treatment Period ending with a 4-week evaluation period from', 'Week 24 to Week 28. At the Day 1 visit the subjects will be randomized to the', 'daprodustat or placebo arm by the IRT system and the study treatment will be', 'administered in a blinded manner. From Day 1 to Week 24 participant study treatment', 'dosage will be adjusted, per the dosing algorithm (Section 7.2), in a blinded fashion, by', 'the IRT system.', 'A placebo control will enable assessment of the magnitude of the daprodustat response', 'and comparisons for safety data. Additionally, a placebo comparator allows for an', 'assessment of the extent to which any improvement in symptoms and HRQoL observed', ""in the daprodustat treatment group is due to the drug's effect."", 'The risk of drop-outs due to lack of treatment effect is estimated to also be low in this', 'patient population since, prior clinical studies have indicated that non-dialysis, CKD', 'patients can maintain, or even increase, their current level of Hgb value without requiring', 'frequent interventional therapy with rhEPOs or IV iron for anemia [Skali, 2013].', 'Participants eligible for this study will be naïve to rhEPO therapies and have limited IV', 'iron exposure at the time of screening and randomization, but may be receiving oral iron', 'which will be allowed to continue during the course of the study. Participants may start', 'treatment or change their dose of iron (oral, or IV if intolerable to oral) to maintain their', 'iron levels during the study. Participants who experience worsening of their anemia', 'during the study may receive rescue therapy based upon the protocol defined rescue', 'algorithm. Therefore, the use of a placebo arm in this study does not represent the', 'absence of any treatment for anemia, but rather placebo in addition to appropriate', 'standard of care.', '5.5.', 'Dose Justification', 'Daprodustat starting doses were selected to enable the majority of study participants to', 'reach the target Hgb concentration after approximately one red blood cell (RBC) lifespan', 'of treatment (almost 3 months, pharmacodynamic steady-state), without the need for any', 'individual dose adjustments. However, due to the between-participant variability in Hgb', 'response to a given dose of daprodustat and the relatively narrow Hgb target range,', 'individual dose adjustments of daprodustat are still expected during the first few months', 'of treatment.', 'The daprodustat starting doses and dose steps (including the highest dose level, 16 mg)', 'were based on dose exposure-response longitudinal modeling of Hgb data collected', 'across the Phase 2 program.', 'In this study, the starting dose of daprodustat will be 2 or 4 mg based on baseline', 'Hemocue Hgb, or a matching placebo dose, for all participants. The starting dose is', 'estimated to increase steady-state Hgb on average by approximately 1g/dL. This starting', 'dose is consistent with the dosing algorithm being evaluated in the Phase 3 study', '[GlaxoSmithKline Document Number 2015N230102_03] for non-dialysis dependent', 'participants who are not currently receiving rhEPO therapy.', '38']"
38,page_39,"['2016N298481_02', 'CONFIDENTIAL', '205270', '6.', 'STUDY POPULATION', 'Prospective approval of protocol deviations to recruitment and enrollment criteria, also', 'known as protocol waivers or exemptions, is not permitted.', '6.1.', 'Inclusion Criteria', 'Participants will be eligible for inclusion in this study only if all of the following criteria', 'apply at screening (Week -4 and Week -2) and randomization (Day 1), unless', 'otherwise specified:', 'Age', '1. > 18 years of age at the time of signing the informed consent.', 'Type of Participant and Disease Characteristics', '2. CKD: Have CKD, confirmed at screening: Kidney Disease Outcomes Quality', 'Initiative (KDOQI) CKD stages 3, 4, or 5 defined by Estimated glomerular', 'filtration rate (eGFR) using the CKD Epidemiology Collaboration (CKD-EPI)', 'formula [Levey, 2009].', '3. Hgb: Stable HemoCue Hgb from 8.5 to 10.5 at screening visit (Week -4) and', 'from 8.5 to 10.0 g/dL at randomization (Day 1) (Section 9.1).', '4. IV Iron: Participants may receive up to one IV iron dose within the 8 weeks prior', 'to screening and NO IV iron use between screening visit and randomization (Day', '1).', '5. Oral Iron: If needed, participant may be on stable maintenance oral iron', 'supplementation. There should be <50% change in overall dose and no change in', 'type of iron prescribed doses in the 4 weeks prior to Day 1 randomization visit.', 'Sex', '6. Male and female participants are eligible. A female participant is eligible to', 'participate if she is not pregnant (see Section 12.4), not breastfeeding, and at least', 'one of the following conditions applies:', 'Not a woman of childbearing potential (WOCBP) as defined in Section', '12.4 (Appendix 4), or', 'A WOCBP who agrees to follow the contraceptive guidance in', 'Appendix 4 during the treatment period and for at least 4 weeks after the', 'last dose of study treatment.', 'Informed Consent', '7.', 'Capable of giving signed informed consent as described in Section 12.2', 'Appendix 2 which includes compliance with the requirements and restrictions', 'listed in the informed consent form (ICF) and in this protocol.', '39']"
39,page_40,"['2016N298481_02', 'CONFIDENTIAL', '205270', '6.2.', 'Exclusion Criteria', 'Participants will not be eligible for inclusion in this study if any of the following criteria', 'apply at screening (Week -4 and Week -2) and randomization (Day 1), unless', 'otherwise specified:', 'CKD Related Criteria', '1. Dialysis: On dialysis or clinical evidence of impending need to initiate dialysis', 'within 180 days after randomization (Day 1).', '2. Kidney Transplant: Planned living-related or living-unrelated kidney transplant', 'within 28 weeks after randomization (Day 1).', 'Anemia-Related Criteria', '3. Transferrin saturation (TSAT) <15% (Screening only)', '4. Ferritin <50 ng/mL (Screening only)', '5. rhEPO or rhEPO analogues: History of rhEPO or rhEPO analogue use within', 'the 8 weeks prior to screening and rhEPO use between screening and', 'randomization (Day 1).', '6. Transfusion: History of transfusion within the 8 weeks prior to screening and', 'transfusion between screening and randomization (Day 1).', '7. Aplasias: History of bone marrow aplasia or pure red cell aplasia (PRCA)', '8. Other causes of anemia: Megaloblastic emia(untreated pernicious anemia and', 'folate deficiency), thalassemia major, sickle cell disease or myelodysplastic', 'syndrome', '9. Gastrointestinal (GI) bleeding: Evidence of actively bleeding gastric, duodenal,', 'or esophageal ulcer disease OR clinically significant GI bleeding VI 8 weeks prior', 'to screening through to randomization (Day 1)', 'Concomitant medication and other study treatment-related criteria', '10. Severe Allergic reaction: History of severe allergic or anaphylactic reactions or', 'hypersensitivity to excipients in the investigational product.', '11. Drugs and supplements: Use of strong inhibitor of CYP2C8 (e.g ,gemfibrozil)', 'or strong inducers of CYP2C8 (e.g., rifampin/rifampicin).', '12. Ferric Citrate: Ferric citrate use within 4 weeks prior to randomization (Day 1)', 'Prior Clinical Study Experience', '13. Other interventional study participation: Use of other investigational agent or', 'device prior to screening through to randomization (Day 1).', 'a. Note: at screening, this exclusion applies to use of the investigational', 'agent within 30 days or within five half lives (whichever is longer).', '14. Prior treatment with daprodustat: Any prior treatment with daprodustat for a', 'treatment duration of >30 days.', '40']"
53,page_54,"['2016N298481_0', 'CONFIDENTIAL', '205270', 'Immediate safety concerns should be discussed with the sponsor immediately upon', 'occurrence or awareness to determine if the participant should continue or', 'discontinue study treatment.', 'Adherence to the study design requirements, including those specified in the SoA', '(Section 2), is essential and required for study conduct.', 'All screening evaluations must be completed and reviewed to confirm that potential', 'participants meet all eligibility criteria. The investigator will maintain a screening', 'log to record details of all participants screened and to confirm eligibility or record', 'reasons for screening failure, as applicable.', ""Procedures conducted as part of the participant's routine clinical management (e.g.,"", 'blood count) and obtained before signing of ICF may be utilized for screening or', 'baseline purposes provided the procedure met the protocol-specified criteria and was', 'performed within the time frame defined in the SoA (Section 2).', 'The maximum amount of blood collected from each participant over the duration of', 'the study, including any extra assessments that may be required, will be', 'approximately 150 mL. This amount does not take into account the blood that can be', 'collected at unscheduled visits.', 'Repeat or unscheduled samples may be taken for safety reasons or for technical', 'issues with the samples.', 'This section lists the procedures and parameters of each planned study assessment.', 'Post randomization visits should be referenced back to the Randomization visit (Day', '1). The allowable visit window is 1 week. However, during the study, to ensure', 'continuity of randomized treatment, study visits must be no more than 5 weeks apart.', 'In exceptional circumstances, minor changes to visit structure may be permitted after', 'consultation with the Medical Monitor.', 'Supplementary study conduct information is provided in the SRM. The SRM', 'provides administrative and detailed technical information that does not impact', 'participant safety.', '9.1.', 'Screening and Critical Baseline Assessments', 'Before any study-specific procedure is performed, valid informed consent must be', 'obtained at screening.', 'Demography and medical history (including cardiovascular medical history/risk', 'factors) will be assessed at screening (Week -4).', 'A stable, HemoCue Hgb from 8.5 to 10.0 g/dL at Day 1 (randomization visit).', 'If the initial HemoCue Hg assessment is from 10.1 - 10.3 g/dL or from 8.2', 'to 8.4g/dL, a repeat assessment should be conducted. The two Hemocue', 'Hgb should be averaged and the average Hemocue Hgb value should be', 'from 8.5 - 10.0 g/dL.', '54']"
54,page_55,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'If the average Hgb is also from 10.1 to 10.3 or from 8.2 to 8.4 g/dL then', 'another HemoCue Hgb assessment can be performed using a new blood', 'sample on the Day 1 visit date.', 'Two values from one blood sample can be entered into the IRT system', 'however only the first value or the average value will be used for', 'randomization and dose modification algorithm.', 'Full details of screening (Week -4) and Day 1 assessments are provided in the', 'Schedule of Activities.', '9.2.', 'Efficacy Assessments', 'Planned time points for all Hgb efficacy assessments are listed in the Schedule of', 'Activities (Section 2).', 'GSK will supply a point-of-care Hgb analyzer (i.e. HemoCue) to each site for', 'rapid measurement of Hgb.', 'Blood samples for measurement of Hgb via HemoCue and also by the central', 'laboratory will be collected as specified in the Schedule of Activities.', 'All HemoCue Hgb assessments after Day 1 visit to study completion should be', 'conducted at the end of the study visit, prior to study medication or rescue', 'medication administration.', 'All efforts should be made to conduct the Hemocue Hgb measurements in', 'a separate area away from the participants.', '9.3.', 'Adverse Events', 'The definitions of an AE or SAE can be found in Section 12.3 (Appendix 3).', 'The investigator and any designees are responsible for detecting, documenting,', 'and reporting events that meet the definition of an AE or SAE and remain', 'responsible for following up AEs that are serious, considered related to the study', 'treatment or the study, or that caused the participant to discontinue the study', 'treatment (see Section 8).', '9.3.1.', 'Time Period and Frequency for Collecting AE and SAE', 'Information', 'All SAEs will be collected from the start of treatment until the follow-up visit at', 'the time points specified in the SoA (Section 2). However, any SAEs assessed', 'as related to study participation (e.g., study treatment, protocol-mandated', 'procedures, invasive tests, or change in existing therapy) or related to a GSK', 'product will be recorded from the time a subject consents to participate in the', 'study.', '55']"
55,page_56,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'All AEs will be collected from the start of study treatment until the follow-up', 'visit at the time points specified in the SoA (Section 2).', 'Medical occurrences that begin before the start of study treatment but after', 'obtaining informed consent will be recorded on the Medical History/Current', 'Medical Conditions section of the eCRF not the AE section.', 'All SAEs will be recorded and reported to GSK or designee immediately and', 'under no circumstance should this exceed 24 hours, as indicated in Section 12.4', '(Appendix 3). The investigator will submit any updated SAE data to GSK', 'within 24 hours of it being available.', 'Investigators are not obligated to actively seek AEs or SAEs in former study', 'participants. However, if the investigator learns of any SAE, including a death,', 'at any time after a participant has been discharged from the study, and he/she', 'considers the event to be reasonably related to the study treatment or study', 'participation, the investigator must promptly notify GSK.', 'The method of recording, evaluating, and assessing causality of AEs and SAEs', 'and the procedures for completing and transmitting SAE reports are provided in', 'Section 12.4 (Appendix 3).', '9.3.2.', 'Method of Detecting AEs and SAEs', 'Care will be taken not to introduce bias when detecting AEs and/or SAEs. Open-ended', 'and non-leading verbal questioning of the participant is the preferred method to inquire', 'about AE occurrence.', '9.3.3.', 'Follow-up of AEs and SAEs', 'After the initial AE/SAE report, the investigator is required to proactively follow each', 'participant at subsequent visits/contacts. All SAEs and non-serious AEs of special', 'interest (as defined in Section 9.3.6), will be followed until the event is resolved,', 'stabilized, otherwise explained, or the participant is lost to follow-up (as defined in', 'Section 8.3). Further information on follow-up procedures is given in Section 12.4', '(Appendix 4).', '9.3.4.', 'Regulatory Reporting Requirements for SAEs', 'Prompt notification by the investigator to GSK of an SAE related to placebo or', 'daprodustat is essential so that legal obligations and ethical responsibilities', 'towards the safety of participants and the safety of a study treatment under', 'clinical investigation are met.', 'GSK has a legal responsibility to notify both the local regulatory authority and', 'other regulatory agencies about the safety of a study treatment under clinical', 'investigation. GSK will comply with country-specific regulatory requirements', 'relating to safety reporting to the regulatory authority, Institutional Review', 'Boards (IRB)/Independent Ethics Committees (IEC), and investigators.', '56']"
56,page_57,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Investigator safety reports must be prepared for suspected unexpected serious', 'adverse reactions (SUSAR) according to local regulatory requirements and GSK', 'policy and forwarded to investigators as necessary.', 'An investigator who receives an investigator safety report describing an SAE or', 'other specific safety information (e.g., summary or listing of SAE) from GSK', ""will review and then file it along with the Investigator's Brochure[IE"", 'GlaxoSmithKline Document number RM2008/00267/07] and will notify the', 'IRB/IEC, if appropriate according to local requirements.', '9.3.5.', 'Events Referred to the Clinical Events Committee (CEC)', 'Investigators should refer any event suspected to be one of the events below to the CEC', 'for adjudication, See CEC Site Manual for full scope of reporting requirements:', 'All-cause mortality (CV and non-CV mortality)', 'Non-fatal myocardial infarction (MI)', 'Non-fatal stroke', 'Hospitalization for HF', 'Thromboembolic events (vascular access thrombosis, deep vein thrombosis,', 'pulmonary embolism)', 'Events referred to the CEC will be subjected to blinded adjudication using pre-specified', 'diagnostic criteria.', 'When the investigator-reported event and the CEC assessment by the committee differ,', ""the committee's decision will be considered final. The detailed descriptions of the"", 'endpoint definitions used for adjudication are contained within the CEC Charter', '(available on request).', 'Source documentation required to support the adjudication of the events is described in', 'the CEC site manual.', '9.3.6.', 'Other Cardiovascular (CV) Events', 'GSK has identified other CV events of interest for all clinical studies. Investigators will', 'be required to fill out the specific CV event page of the eCRF for the following CV AEs', 'and SAEs or any event that may potentially be one of the categories listed:', 'Arrhythmias', 'Pulmonary hypertension (also an AE of special interest see Section 9.3.7 for further', 'details).', 'Valvulopathy', 'Revascularization', '57']"
57,page_58,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'For any cardiovascular events detailed in Section 9.3.5 and Section 9.3.6 and all deaths,', 'whether or not they are considered SAEs, specific Cardiovascular (CV) and Death', 'sections of the CRF will be required to be completed. These sections include questions', 'regarding cardiovascular (including sudden cardiac death) and non-cardiovascular death.', 'The CV eCRFs are presented as queries in response to reporting of certain CV MedDRA', 'terms. The CV information should be recorded in the specific cardiovascular section of', 'the CRF within one week of receipt of a CV Event data query prompting its completion.', '9.3.7.', 'Adverse Events of Special Interest', 'The investigator or site staff will be responsible for detecting, documenting and reporting', 'any events that may represent the AEs of special interest listed below (using preferred', 'terms):', 'Death, MI, stroke, heart failure, thromboembolic events, thrombosis of vascular', 'access', 'Thrombosis and/or tissue ischemia secondary to excessive erythropoiesis', 'Worsening of hypertension', 'Cardiomyopathy', 'Pulmonary artery hypertension (see also Section 9.3.2)', 'Cancer-related mortality or tumor progression and recurrence', 'Esophageal and gastric erosions', 'Proliferative retinopathy, macular edema, choroidal neovascularization', 'Exacerbation of rheumatoid arthritis', 'The Death CRF is provided immediately after the occurrence or outcome of death is', 'reported. Initial and follow-up reports regarding death must be completed within one', 'week of when the death is reported.', 'The results of any investigation regarding adverse events of special interest should be', ""recorded in the relevant sections of the participant's eCRF."", '9.3.8.', 'Possible Suicidality Related Adverse Events', ""If during the study there is an occurrence of an AE or SAE which in the investigator's"", 'opinion, is possibly related to suicidality, the Possible Suicidality Related Adverse Events', '(PSRAE) eCRF form should be completed (in addition to the AE or SAE pages, as', 'appropriate).', 'This event may include, but is not limited to, one that involves suicidal ideation, a', 'preparatory act toward imminent suicidal behavior, a suicide attempt, or a completed', 'suicide. The investigator will exercise his or her medical and scientific judgment in', 'deciding whether an event is possibly related to suicidality.', '58']"
58,page_59,"['2016N298481_02', 'CONFIDENTIAL', '205270', '9.3.9.', 'Pregnancy', 'Details of all pregnancies in female participants will be collected after the start of', 'study treatment and until seven days after the last dose.', 'If a pregnancy is reported, the investigator should inform Sponsor within 2 weeks of', 'learning of the pregnancy and should follow the procedures outlined in Section 12.5', '(Appendix 5) .', 'Abnormal pregnancy outcomes (e.g., spontaneous abortion, fetal death, stillbirth,', 'congenital anomalies, ectopic pregnancy) are considered SAEs.', '9.4.', 'Treatment of Overdose', 'There is no specific antidote for overdose with daprodustat. The expected manifestations', 'of daprodustat overdosage include signs and symptoms associated with an excessive', 'and/or rapid increase in Hgb concentration. Daprodustat is highly protein bound; thus,', 'clearance of daprodustat by hemodialysis (HD) or peritoneal dialysis (PD) is very low', 'and these are not effective methods to enhance the elimination of daprodustat.', 'Daprodustat metabolites are, in part, cleared via hemodialysis. In the event of a suspected', 'overdose, it is recommended that the appropriate supportive clinical care be instituted, as', ""dictated by the participant's clinical status. Additionally, participants should be"", 'monitored closely for CV events, increased heart rate and hematologic abnormalities.', '9.5.', 'Safety Assessments', 'Planned time points for all safety assessments are provided in the SoA (Section 2).', '9.5.1.', 'Height and Weight', 'Height and weight will be measured as specified in the SoA (Section 2). Weight', 'should be measured with the participant wearing indoor daytime clothing with no', 'shoes.', '9.5.2.', 'Blood Pressure and Heart Rate', 'Measurement of systolic blood pressure (SBP), diastolic blood pressure (DBP) and heart', 'rate (HR) will be taken at the time points specified in the SoA (Section 2)', 'One measurement each of SBP, DBP and HR will be taken except at Day 1 and', 'Week 28 (or Early Treatment Discontinuation visit) when SBP, DBP and HR', 'will be measured in triplicate.', 'For measurements taken in triplicate, the readings can be averaged and the', 'averaged value would be included in the eCRF.', 'Measurements will be taken with participants in a seated position after at least a', '5-minute rest period, and will be before collection of blood samples for', 'laboratory testing, where applicable.', '59']"
59,page_60,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'For subjects transitioning to dialysis, SBP, DBP and HR will be measured pre', 'and post-dialysis, whenever possible (e.g., in-center HD). Otherwise these', 'assessments will be done between dialysis sessions.', '9.5.3.', 'Electrocardiograms', 'ECG measurements will be taken at the time points specified in the SoA (Section 2). Full', '12-lead ECGs will be recorded with the participant in a supine position. HR, PR interval,', 'QRS duration, and QT (uncorrected) interval will be measured. QTcB will be calculated', '(machine-read or manually).', 'When an ECG is performed, two additional ECGs are required if the initial ECG', 'indicates prolonged QTc (see Section 6.2) using the automated or manually calculated', 'QTcB value. The average QTcB value of all three ECGs will be used to determine', 'eligibility (see Section 6.2). Additional details are provided in the SRM.', 'ECG data will be read locally by a physician with experience in reading and interpreting', 'ECGs. The over-read of the ECG will be required to confirm eligibility. Additional', 'details are provided in the SRM.', 'All ECGs will be performed before measurement of SBP, DBP and HR and collection of', 'blood samples for laboratory testing.', 'For subjects transitioning to dialysis, ECGs will be performed before measurement of', 'SBP, DBP, HR and before collection of blood samples for laboratory testing, where', 'applicable (e.g., would not apply if ECG is performed post-HD).', '9.5.4.', 'Ultrasound', 'An ultrasound of the kidneys and adrenal glands will be performed prior to', 'randomization. It is understood that the adrenal glands will not always be able to be', 'visualized. Non-visualization of the adrenals is not a reason to exclude a participant from', 'randomization. Further details are provided in the SRM.', 'A documented ultrasound of the kidneys within the 6 months prior to screening may be', 'used to assess entry criteria (see Section 6.2), provided the size and cyst category has', 'been reported. If a more sensitive imaging study (e.g., MRI, CT) has been performed', 'within this timeframe and a report is available, this may be used in place of the', 'ultrasound.', 'For randomized participants with ADPKD:', 'An ultrasound of the kidneys will be performed when participants permanently', 'discontinue study treatment, preferably within one month of discontinuation of study', 'treatment as soon as clinically feasible. This may occur during the study OR at the', 'end of study. See Table 1 and Table 3 for details.', 'As clinically feasible, an ultrasound should be performed PRIOR to the following:', 'Transition to dialysis', 'Bilateral nephrectomy', '60']"
60,page_61,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Kidney transplant.', 'An additional ultrasound may be performed at any time during the study based on', ""investigator's clinical judgment (e.g., deterioration of kidney function as measured by"", 'eGFR in the absence of other identifiable causes). Other imaging techniques (e.g.,', ""MRI) can be performed at the investigator's discretion."", 'If an additional imaging study is performed, and the condition of the cystic disease in', 'the kidney(s) has worsened more than expected given the clinical scenario, then', 'study treatment should be temporarily stopped. Subsequently, if no other cause', 'for the kidney function decline and/or cyst enlargement can be identified, study', 'treatment should be permanently discontinued after consultation with the Medical', 'Monitor.', '9.5.5.', 'Clinical Laboratory Assessments', 'Refer to Table 8 for the list of clinical laboratory tests to be performed and to the', 'SoA (Section 2) for the timing and frequency.', 'The investigator must review the laboratory report, document this review, and', 'record any clinically relevant changes occurring during the study in the AE', 'section of the CRF. The laboratory reports must be filed with the source', 'documents. Clinically significant abnormal laboratory findings are those which', 'are not associated with the underlying disease, unless judged by the investigator', ""to be more severe than expected for the participant's condition."", 'All laboratory tests with values that are considered clinically significantly', 'abnormal during participation in the study or within seven days after the last', 'dose of randomized treatment should be repeated until the values return to', 'normal or baseline. If such values do not return to normal within a period', 'judged reasonable by the investigator the sponsor should be notified.', 'If such values do not return to normal/baseline within a period of time judged', 'reasonable by the investigator, the etiology should be identified and the sponsor', 'notified.', 'All protocol-required laboratory assessments, as defined in Table 8, must be', 'conducted in accordance with the laboratory manual and the SoA (Section', '2). Laboratory assessments will be performed by a central laboratory with the', 'exception of HemoCue Hgb and urine pregnancy tests which will be performed', 'at the clinical site. The results of each HemoCue Hgb must be entered into the', ""participant's eCRF."", 'Local laboratory results are only required in the event that the central laboratory', 'results are not available in time for either study treatment administration and/or', 'response evaluation. If a local sample is required, it is important that the sample', 'for central analysis is obtained at the same time.', '61']"
61,page_62,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Some of the central laboratory/analyte results which will not be reported to', 'investigators, site staff and participants are Hgb, hematocrit, reticulocyte count,', 'RBC count, etc. Additional details will be included in the SRM.', 'Table 8', 'Protocol Required Laboratory Assessments', 'Laboratory', 'Parameters', 'Assessments', 'Platelet count', 'RBC indices:', 'WBC count with Differential:', 'RBC count', 'MCV', 'Neutrophils', 'Reticulocyte count', 'MCH', 'Lymphocytes', 'Hematology', 'Hgb', 'MCHC', 'Monocytes', 'Hematocrit', 'RDW', 'Eosinophils', 'Basophils', 'Clinical', 'Sodium (serum)', 'AST', 'Carbon Dioxide (total)', 'Chemistry 1', 'Potassium (serum)', 'ALT', 'Albumin', 'Calcium (total and', 'Inorganic phosphate', 'Urea (serum)', 'albumin-adjusted)', 'Creatinine (serum)', 'Bilirubin (total and', 'Chloride (serum)', 'direct/indirect)', 'eGFR', 'Iron', 'Iron (serum)', 'Ferritin', 'UIBC', 'parameters', 'Hepcidin', 'TIBC', 'TSAT', 'Lipid', 'Total cholesterol', 'LDL-C (direct)', 'HDL-C', 'parameters', 'Other', 'Urine/serum hCG', 'FSH 4', 'Estradiol 4', 'laboratory', 'pregnancy test 2,3', 'tests', 'HemoCue Hgb', 'hsCRP', 'WBC, white blood cells; MCV, mean corpuscular volume; MCH, mean corpuscular hemoglobin; MCHC, mean', 'corpuscular hemoglobin concentration; RDW, red blood cell distribution width, AST, aspartate transaminase; LDL-C,', 'low density lipoprotein-C; HDL-C, high density lipoprotein-C; TIBC, total iron binding capacity; hCG, human chorionic', 'gonadotropin; FSH, follicle-stimulating hormone.', '1.', 'Details of Liver Chemistry Stopping Criteria and Required Actions and Follow-Up Assessments after liver stopping', 'or monitoring event are given in Section 8.1.1 and Appendix 6.', '2.', 'For women of childbearing potential only.', '3.', 'Local urine testing will be standard for the protocol unless serum testing is required by local regulation or IRB/IEC,', 'and for participants who transition to dialysis during the study.', '4.', 'Screening only. As needed for postmenopausal women when their menopausal status is in doubt. See Inclusion', 'Criteria Section 6.1.', '9.6.', 'Patient Reported Outcomes', 'The patient-reported effect of daprodustat and placebo on symptoms, health related', 'quality of life (HR-QoL), health status (e.g., utility) and work productivity and activity', 'impairment will be assessed. Symptoms will be assessed using a symptoms questionnaire', 'which is specific to anemia of Chronic Kidney Disease - Anemia Questionnaire (CKD-', 'AQ). Overall symptom severity will be assessed using the patient global impression of', 'severity (PGI-S), and overall symptom change using the patient global impression of', 'change (PGI-C). Quality of life will be measured via SF-36 and health status via the', 'EuroQol 5 Dimension 5 Level Health Utility Index (EQ-5D-5L) and the EuroQol Visual', '62']"
62,page_63,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'Analogue Scale (EQ-VAS). Work productivity and regular daily activity impairment will', 'be measured via the Work Productivity and Activity Impairment Questionnaire for the', 'specific health problem of anemia, Clinical Practice Version 2.0 (WPAI-ANS- CPV;', 'V2.0).', 'All questionnaires used in this study have been translated and culturally adapted for use', 'in local country languages and will be administered electronically only. Specific', 'instructions on how the participant is to complete these questionnaires will be provided in', 'the SRM.', 'Patient reported outcomes questionnaires are to be administered at the beginning of the', 'visits and the subjects should not be told the results of any diagnostic tests prior to', 'completing the questionnaires. Adequate time must be allowed to complete all items on', 'questionnaires, and if necessary, the subject must be encouraged to complete any missing', 'items. So as to minimize the amount of missing data, the questionnaires should be', 'completed by participants at a clinic visit, in the order specified: PGI-S, PGI-C, CKD-', 'AQ, SF-36, EQ-5D-5L and EQ-VAS, then the WPAI-ANS- CPV. Additional instructions', 'on how investigators and site staff will be trained to provide participants with instructions', 'will be provided in the SRM.', '9.6.1.', 'Chronic Kidney Disease - Anemia Questionnaire (CKD-AQ)', 'A novel symptom questionnaire - CKD-AQ has been developed to collect concepts of', 'interest for the anemia of CKD population. Unlike the Functional Assessment of Cancer', 'Therapy - Anemia (FACT-AN) and Functional Assessment of Chronic Illness Therapy -', 'Fatigue (FACIT-Fatigue) which have not demonstrated content validity specific for the', 'anemia of CKD population, the novel CKD-AQ instrument was developed to verify and', 'ensure that concepts specific for anemia of CKD were captured and measured. It will', 'measure both the frequency and/or severity in anemia of CKD concepts such as', 'Weakness, Energy, Tiredness, Shortness of Breath, Exertion, Chest Pain, Memory,', 'Concentration, Standing, Sleep and Distress over the past 7 days.', '9.6.2.', 'Patient Global Impression of Severity (PGI-S) and Patient Global', 'Impression of Change (PGI-C)', ""The PGI-S is a 1-item questionnaire designed to assess participant's impression of"", 'disease severity of their anemia of CKD. It is measured on a 5-point disease severity', 'scale (absent, mild, moderate, severe, or very severe) during the past 24 hours.', ""The PGI-C is a 1-item questionnaire designed to assess a participant's impression of"", 'symptoms change of their anemia of CKD. It is measured on a 7-point Likert-type', 'response scale (very much improved, moderately improved, minimally improved, no', 'change, minimally worse, moderately worse, or very much worse) since they first started', 'the study.', '9.6.3.', 'Health Related Quality of Life (SF-36)', 'The SF-36 acute version is a general health status questionnaire designed to elucidate the', ""participant's self-perception of their health on several domains, including physical"", '63']"
63,page_64,"['2016N298481_02', 'CONFIDENTIAL', '205270', 'functioning, role physical, bodily pain, vitality, social functioning, role emotional, mental', 'health, and general health. The questionnaire contains 36 questions within these domains', 'that ask the participant to recall how they felt during the past seven days.', '9.6.4.', 'Health Status (EQ-5D-5L & EQ-VAS)', 'EQ-5D-5L consists of 2 concepts - the EQ-5D-5L descriptive system and the EQ-VAS.', 'The EQ-5D-5L is a self-reported descriptive system of health-related quality of life states', 'consisting of five dimensions (mobility, self-care, usual activities, pain/discomfort,', 'anxiety/depression) each of which can take one of five responses. The responses record', 'five levels of severity (no problems/slight problems/moderate problems/severe', 'problems/extreme problems) within a particular EQ-5D dimension. Self-reported health', ""status captured by EQ-5D-5L relates to the participant's situation at the time of"", 'completion.', ""The EQ VAS records the respondent's self-rated health on a vertical, visual analogue"", 'scale where the endpoints are labeled ""the best health you can imagine\' and ""the worst', ""health you can imagine' at the time of completion. This information is used as a"", 'quantitative measure of health outcome as judged by individual participants.', '9.6.5.', 'Work Productivity and Activity Impairment (WPAI-ANS-CPV)', 'The WPAI-ANS-CPV is an anemia specific questionnaire designed as a self-reported', 'quantitative assessment of social functioning related to work and regular daily activities.', 'It contains two main concepts- work productivity impairment measured via absenteeism', '(time missed from work), presenteeism (impairment at work) and regular daily activity', 'impairment. The questionnaire contains 6 questions and asks the patient to recall work', 'and activity impairment over the past 7 days.', '9.7.', 'Actigraphy', 'Patients with anemia in CKD can experience decreased physical functioning and sleep', 'disturbances [KDIGO, 2012]. Therefore, actigraphy assessment in this study will be', 'conducted as a means to measure changes in the physical activity and sleep from a', 'baseline measurement taken prior to Randomization (Day 1) to the end of study. The data', 'collected may be used to conduct exploratory analyses of physical activity and sleep.', 'ActiGraph GT9X Link is being piloted in this study to capture and record high resolution', 'human activity information by using a validated solid state 3-axis MEMS accelerometer', 'and proprietary filtering algorithm to report daily movement associated with physical', 'activity and sleep. This device will capture patterns of activity throughout the day and', 'night.', 'Physical activity will be measured by subject activity metrics such as steps taken,', 'physical activity intensity, and activity/sedentary bouts.', 'Sleep activity will be measured by subject sleep period metrics such as total sleep time,', 'sleep latency and sleep efficiency.', '64']"
