, ,Screen/Run-In, , , , , ,Phase 1, , , , , , ,Phase 2, , , , ,Phase,3
11,Targeted PE/joint assess, ,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
12,CBC with diff,X,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
13,HIV1 and 2 Antibody Screen,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
14,IgG,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,sUA (Pre Infusion Weeks 0-24++),SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
16,Pregnancy testing,X (serum),SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
17,CMP,SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
18,G6PD,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
19,Peg Ab/Mechanistic collection/storage £,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
20,MMF Adherence,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,Gout flare prophylaxis*,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
22,Administer pegloticase*,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
