 ,Screening, , , , ,Treatment, ,period, , , ,End of treatment/ early termination³,Follow- up4,Primary endpoint visit at,"Unscheduled visit, if applicable6",References (protocol section)
Height and weight,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, ,11.2.5
Determination of the treatment areas,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED, , ,NOT_SELECTED, ,11.2.6
eDiary hand out / training,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , ,NOT_SELECTED, ,7.1
Subject assessment of efficacy,#NAME?, , , , , , , , , , , , , , , 
eDiary completion: HESD11, , , , , , - during,daily, , , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.7.1.1
Subject assessment of efficacy,and,health-related, ,quality,of life,, ,trial,visits, , , , , , , 
HEIS,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,X,X,X,X,X,X,X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.7.1.2
PaGA,SELECTED X,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,11.7.1.3
PGI-C,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.7.1.4
DLQI,SELECTED X,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.7.1.5
EQ-5D-5L,SELECTED X,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.7.1.6
QOLHEQ,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,11.7.1.7
WLQ12,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,X, ,X, , , ,X, ,NOT_SELECTED, ,11.7.1.8
Investigator assessments of,efficacy, , , , , , , , , , , , , , , 
IGA,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,X,X,X,X,X,X,X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,11.3.1
HECSI,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X, ,X,X,X,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,11.3.2
Investigator assessments of,safety, , , , , , , , , , , , , , , 
Vital signs,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,(X),11.4.1
Physical examination,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,(X),11.4.2
ECG,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED (X),11.4.3
"Chemistry, haematology13",SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED (X),11.4.4
"Serology, total IgE, tuberculosis test14",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,11.4.4
Serum pregnancy test15,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,(X),11.4.4
Urine pregnancy test15,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED (X),11.4.4
Urinalysis - dipstick,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED (X),11.4.4
AEs/SAEs,SELECTED X,SELECTED,SELECTED X16,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,13
Subject assessment of local tolerability,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,X,NOT_SELECTED,NOT_SELECTED,SELECTED X,11.4.5
PK blood sample,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X17,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,11.5.1
Skin swab/skin microbiome,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, , ,11.6.2
Blood sample for filaggrin mutation status,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,11.6.4
"Skin barrier function (selected sites18, 19",NOT_SELECTED,SELECTED X19,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,11.6.5
Skin biopsy and photography (optional) 19,NOT_SELECTED,SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X20,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,11.6.3
Check skin biopsy wound healing/suture removal,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,11.6.3
New chronic hand eczema lesions,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,9.2
Return of eDiary,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
End of trial form21, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,"10.3, 11.9"
