"CBC w/diff, blood chemistries6",SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"X6,8",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,"SELECTED X6,8",NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,"SELECTED X6,8",NOT_SELECTED
"Fasting Lipid Profile (LDL, HDL, Triglycerides), fasting Glucose, HbA1c",NOT_SELECTED,X, , , ,NOT_SELECTED, ,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Efficacy, , , , , , , , , , , , , , , , , , , , , , , , , , , 
"Overall survival status, Disease progression, Symptomatic-skeletal event9",NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED,SELECTED SELECTED X9,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED X9,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED X9,Twice yearly9
WHO analgesic scale,X,NOT_SELECTED, , , , ,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,X,Once yearly9
CPET with ECG³,SELECTED X10,NOT_SELECTED,NOT_SELECTED, , , ,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , 
ARM A - Constant Load test10,NOT_SELECTED,SELECTED X10,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED, ,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED, ,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED SELECTED, 
ARM A - 1-RM Strength test,NOT_SELECTED,SELECTED X10,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X11,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,X11,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11, 
ARM B - 1-RM Strength test,NOT_SELECTED,X10,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11, 
400 m walk test,NOT_SELECTED,X10,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X11, 
Safety, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Medical Clearance(s)2,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Vital signs13,SELECTED X³,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED, 
ECOG performance status,SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, , , , ,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, 
Bone pain at exercise visits,NOT_SELECTED, , , , , , , , ,Assessed,at,each,supervised, ,exercise,visit,using,VAS, , , , , , , , , 
Adverse events14, ,NOT_SELECTED,SELECTED, ,X, , , , , , , , , , , , , , , , , , , , ,SELECTED, 
Concomitant medications15,SELECTED X³,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , , , , , , 
Metabolic Research Studies,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, , , , , , , , , , , , , , , , , , , , ,NOT_SELECTED, 
Research blood (fasting),NOT_SELECTED,SELECTED X16,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , ,X17, , , , , , , , , , , ,SELECTED X17,NOT_SELECTED
FFPE tumour specimens,NOT_SELECTED,Request18,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , , , , , , ,NOT_SELECTED,NOT_SELECTED, 
Urine specimens,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , , , , , , , , ,NOT_SELECTED,SELECTED, 
Patient Report Outcomes, , , , , , , , , , , , , , , , , , , , , , , , , , , 
Appx 5 Demographics & Health History Questionnaire,SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, 
Appx 8 Exercise Screening Questionnaire,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X21
"FACT-G, EPIC-26, FACIT- Fatigue, EORTO QLQ-C30, STAI, CES-D, PSQI, falls20",NOT_SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X21
BPI-SF and EQ5D 20,SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X21
"Exercise questions modified from baseline, Modified Godin exercise scale, memory, exercise motivation20",SELECTED X19,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED, 
Diet20,SELECTED X19,NOT_SELECTED,NOT_SELECTED, , , , , , , , ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, , ,NOT_SELECTED, ,SELECTED,NOT_SELECTED
Cost of Participation,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
