Phase,Screening, ,Titration,Phase, ,Maintenance Phase,End-of-study
Data of previous coronary artery angiography or CCTA,SELECTED xb,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
CCTA,SELECTED XS,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Inclusion/exclusion criteria,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Medical/surgical history,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Prior/concomitant medications,SELECTED <---,NOT_SELECTED ----,SELECTED ----,NOT_SELECTED ----,NOT_SELECTED ----,NOT_SELECTED ----,SELECTED
IVRS/IWRS,SELECTED X°,SELECTED xp,SELECTED XP,SELECTED XP,SELECTED XP,SELECTED X,NOT_SELECTED
Randomization,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
IMP administration,NOT_SELECTED,SELECTED <---,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
IMP dispensation,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED Xq,NOT_SELECTED
Safety,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Physical examination,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Height,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Body weight,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Vital signse (including search for orthostatic,SELECTED,"SELECTED xf,g",SELECTED,SELECTED,SELECTED xf,"SELECTED xf,g",SELECTED X
Visit start,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
End of visit,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED
Concomitant medicationsb,€,NOT_SELECTED, , , , , 
SAQ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Resources Utilization,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Patients' perception of treatment and symptoms,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Patient's diary,€, , , , , ,SELECTED
Inclusion/Exclusion criteria,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
CFR assessed by vasodilator stress PET scanC, ,NOT_SELECTED,SELECTED xd,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
NIMP administration, ,NOT_SELECTED,SELECTED xh,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
IVRS/IWRS, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Randomization, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
IMP administration, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Safety, , , , , , ,SELECTED
Physical examination, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Body temperature, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Body weight, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Vital signs9, 12 lead-ECG", ,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X
"Hematology, biochemistry, urinalysis", ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Renal function (blood creatinine/, and cystatin C)", ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Adverse event collection,€, , , , , , 
Pharmacokinetics, , , , , , , 
SAR407899 plasma samples, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
DNA, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Pharmacogenetic DNA sample, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Biomarkers, , ,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED
SELECTED Blood samples for and, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Future use of samples, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Blood sample if specific consent signed, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Time (hour/minute),SELECTED,Prior dosing,OH,NOT_SELECTED 1H,3H,,
Visit start,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
End of visit,SELECTED X, ,NOT_SELECTED,NOT_SELECTED,SELECTED,,
Concomitant medicationsb,SELECTED €, , , , ,,
SAQ,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Resources Utilization,NOT_SELECTED,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Patients' perception of treatment and symptoms,NOT_SELECTED,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Patient's diary,SELECTED €, , , ,NOT_SELECTED,,
Inclusion/Exclusion criteria,SELECTED X, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,,
"CFR assessed by vasodilator stress PET scan c,f",SELECTED xd, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
NIMP administration,SELECTED x, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
IVRS/IWRS,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,,
Randomization,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,,
IMP administration, , ,SELECTED X,NOT_SELECTED,NOT_SELECTED,,
Time (hour/minute), ,Prior dosing,OH,1H,3H,,
Safety, , , , , ,,
Physical examination, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Body temperature, ,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Body weight, ,SELECTED NOT_SELECTED X, ,NOT_SELECTED,NOT_SELECTED,,
"Vital signs9, 12 lead-ECG", ,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,,
"Hematology, biochemistry, urinalysis", ,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
"Renal function (blood creatinine/, and cystatin C)", ,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Adverse event collection,&, , , , ,,
Pharmacokinetics, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
SAR407899 plasma samples, , ,NOT_SELECTED,SELECTED X,SELECTED X,,
DNA, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Pharmacogenetic DNA sample, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Biomarkers, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Blood samples for and, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Future use of samples, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Blood sample if specific consent signed, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,,
Time (hour/minute),At arrival at the site,OH Study drug intake,NOT_SELECTED 1H,2H,3H before leaving the site,Additional hours at Investigator's discretion,
Visit start,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,
End of visit,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED x¹,NOT_SELECTED,
Concomitant medications,NOT_SELECTED, , , , , ,
SAQ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Patients' perception of treatment and symptoms,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Patient's diary,NOT_SELECTED <, , , ,NOT_SELECTED, ,
IMP administration,NOT_SELECTED,SELECTED xg,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
"CFR assessed by vasodilator stress PET scanb, e",NOT_SELECTED,NOT_SELECTED, ,SELECTED x,NOT_SELECTED,NOT_SELECTED,
NIMP administration,NOT_SELECTED,NOT_SELECTED,"SELECTED x""", ,NOT_SELECTED,NOT_SELECTED,
Safety d, , , , , , ,
Physical examination,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Body temperature,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,
Time (hour/minute),At arrival at the site,OH Study drug intake,1H,2H,3H before leaving the site,Additional hours at Investigator's discretion,
Body weight,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,
Vital signs 12 lead-ECGe,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
"Hematology, biochemistry, urinalysis,",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Renal function (blood creatinine and cystatin C),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Adverse event collection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,
Pharmacokinetics,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
SAR407899 plasma samples,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,
