 , , , ,Blinded,Treatment, , , 
"Spirometry, including pre-dose FEV1, trough FEV1 and inspiratory capacity",NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
SAC BDI questionnaire 4,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
SAC TDI questionnaire 4,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
SGRQ-C questionnaire 4,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
CAT questionnaire 4,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
EXACT/ER-S: COPD 5,NOT_SELECTED, , , , ,SELECTED,NOT_SELECTED,NOT_SELECTED
Patient Global Rating of COPD severity,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
Patient Global Rating of Change in COPD,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
Safety assessments,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Adverse events/Serious adverse events 6,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X
COPD exacerbation assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X
12-Lead ECG,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED,NOT_SELECTED
Urine pregnancy test 7,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,NOT_SELECTED,X,SELECTED,NOT_SELECTED
Pharmacogenetic sample8,NOT_SELECTED,NOT_SELECTED, , , , ,SELECTED,NOT_SELECTED
Medication/Supplies,NOT_SELECTED,NOT_SELECTED, , , , , ,NOT_SELECTED
Dispense rescue albuterol/slabutamol. Dispense MDI9,NOT_SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
Assess COPD medication compliance10 during run-in,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Dispense eDiary,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Assess compliance with eDiary during run-in,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
Collect rescue albuterol/slabutamol.,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,X,SELECTED, 
Collect eDiary,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED, 
Dispense study treatment11,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED, 
Collect study treatment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,X,SELECTED, 
Assess study treatment compliance during treatment10,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,X,SELECTED X, 
Study sub-set,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, 
Physical activity monitor12,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED, 
Collect Physical activity monitor,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,X,SELECTED X, 
