Period,Screen,Placebo,Run-in, , ,Treatment, , , ,Follow- up
Blood sample for RAST/ImmunoCAP test (central laboratory),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Review Visit 1 laboratory results,NOT_SELECTED,NOT_SELECTED S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
 , , , , , , , , , , 
Parasitic screening,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Spirometry (centralized),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
1st Pre-dose Spirometry (centralized) approximately - 45 min. pre-dose,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
2nd pre-dose Spirometry (centralized) approximately -15 min. pre-dose,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
 ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, , , 
Reversibility test (spirometry after administration of short- acting ß-agonist [SABA]),SELECTED X**,"NOT_SELECTED Xa,B *", ,NOT_SELECTED,NOT_SELECTED, , , , , 
Review Visit 1 or Visit 101 or the one additional attempt reversibility result from overread,NOT_SELECTED,NOT_SELECTED,S,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Asthma exacerbation monitoring,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Serious adverse event monitoring,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
Adverse event monitoring,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Liver event monitoring,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED
Renal event monitoring,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
Contact IRT,S,S,S,S,S,S,S,S,S,S
Randomize patient through IRT, , , ,S, , , , , , 
Assess and dispense rescue SABA to be used on an as- needed basis,S*,S,S,S,S,S,S,S,S**,NOT_SELECTED
Dispense study drug, ,S,NOT_SELECTED,S,S,S,S,NOT_SELECTED, ,NOT_SELECTED
Assess compliance with study drug (count tablets in returned bottles),NOT_SELECTED,NOT_SELECTED,S,NOT_SELECTED,S,NOT_SELECTED S,S,S,S,NOT_SELECTED
In-clinic witnessed study drug intake,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED
Complete Study Drug Dosage Administration Record- Summary page, ,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED
Complete Study Disposition page (screening),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Complete Study Disposition page (run-in),NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Complete Study Disposition page (end of treatment ),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
Complete Study Disposition page (follow-up),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
Complete Withdrawal of,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED
