Assessment,Screening,Period,Baseline, ,"Double-Blind,",Placebo-Controlled,Part 1 Study Drug,Administration, 
Vital signsk,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
FSH¹,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"HIV, HCV, HBV serology",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Diagnosis of HAE establishedm,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Angioedema events eligibility determination,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Safety laboratory evaluationsh,NOT_SELECTED X,NOT_SELECTED,SELECTED X,SELECTED Xc,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Troponin I & troponin T,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
C1-INH antigenic level,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
C3,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
HLA typing°,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Optional sample for possible exploratory pharmacogenomic testingp,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
NGAL,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
CK-MB,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Urinalysish,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED Xc,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
12-lead ECG9,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
EQ-5D-5L,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"AE-QoL, TSQM, and WPAIs",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
 , , , , , , , , , 
Concomitant medications, , , , , , , , , 
 , , , , , , , , , 
AEs, , , , , , , , , 
Randomization,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
"e-diary instruction/review/ set-up""",SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
 , , , , , , , , , 
e-diary completion,NOT_SELECTED, , , , , , , , 
"Study drug dosing""",NOT_SELECTED,NOT_SELECTED, , , , , , , 
Investigator review of,NOT_SELECTED, , , , , , , , 
angioedema events*, , , , , , , , , 
Study drug accountability/ dispensing,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Plasma for PK and PD analysisy,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
