Assessment,Screening,Period,Baseline,"Double-Blind,", ,Part 1 Placebo-Controlled,Study Drug,Administration,Week 24
12-lead ECG,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"EQ-5D-5L""",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
"AE-QoL, TSQM, WPAIs",NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Randomization,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
"e-diary instruction/review/ set-up""",SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
 , , , , , , , , , 
e-diary daily completion,SELECTED, , , , , , , ,NOT_SELECTED
"Study drug dosing""",NOT_SELECTED,NOT_SELECTED, , , , , ,SELECTED,SELECTED
Investigator confirmation of attacks*,NOT_SELECTED, , , , , , ,NOT_SELECTED NOT_SELECTED,SELECTED
Study drug accountability/ dispensing,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Plasma for PK analysisy,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Plasma for kallikrein inhibitiony,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
