Procedures, , , , ,Randomized,Phase, , ,Continuation Phase, , 
Quantitative plasma HIV-1 RNAq,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED
Lymphocyte subset,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
Plasma for storages,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
Clinical chemistryt,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED
Hematology,SELECTED,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED
PT/INR (for Child-Pugh),SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Fasting lipids and glucoseu,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED Xv,NOT_SELECTED
Urinalysis and spot urine for protein analysisw,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,SELECTED X,SELECTED
"Pregnancy testx,y",S,U/Sz,S,S,S,S,S,S,S,S,NOT_SELECTED
"HBsAg, anti-HBc, Anti-HBs, and HBV DNAaa",SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
HCV antibody,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED
RPR,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, 
"Renal, bone and inflammatory marker analytes (blood/urine) and HbA1c, insulin and glucosebb",NOT_SELECTED,SELECTED NOT_SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED NOT_SELECTED,SELECTED NOT_SELECTED X,NOT_SELECTED, ,SELECTED X,NOT_SELECTED NOT_SELECTED
Whole Blood (Virology) CC,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,SELECTED X,NOT_SELECTED
Whole Blood (Telomere Length)dd,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,Xee,NOT_SELECTED
PBMCsff,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED, ,Xgg, 
Study Treatment,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
IVRS/IWRSh,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED
Dispense IP,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,NOT_SELECTED
IP accountability (pill counts),NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED
