Phase of the study,Screening,RT & treatment start,RT,(expected, ,33-35,sessions), ,RT end,2 weeks treatment without RT
Study treatment return and accountability,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X
Patient diary dispensation,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
Patient diary collection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X
Patient Global Satisfaction score,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X
Adverse events,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Phase of the study,Screening,RT & treatment start, ,RT (expected,30,sessions), ,RT end,2 weeks treatment without RT,
Visit number,1,2,3,4,5,6,7,8,9,
Week,-,0,1,2,3,4,5,6,8,
Time (Days) 2 days,-3 to 0,1,7,14,21,28,35,42,56,
Informed consent signature,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Inclusion/Exclusion criteria,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Patient randomization,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Socio-demographic data,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Medical and surgical history collection,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Physical examination,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
Concomitant medications and therapies,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
ECOG performance status,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Erythema assessment,SELECTED X,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
Skindex-16 questionnaire,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
Spettrophotometry & TEWL,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
Study treatment dispensation to patient,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,
Study treatment return and accountability,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,
Patient diary dispensation,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,
Patient diary collection,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,
Patient Global Satisfaction score,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X,
Adverse events,NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,
