 ,Screening, ,Placebo-Controlled,Phase, , ,Apremilast,Extension,Phaseb,Post-Treatment Observational Follow-upd
Waist Circumference,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
Body Mass Index,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
Physical Examination,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
"Clinical laboratory evaluations-h,",SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,-
Health-related Quality of,Life and,Efficacy Assessments, , , , , , , , 
DLQI,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
sPGA of Visible Location,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
ScPGAk,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
Nail Assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
NAPSI,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
Modified sPGA-Gk,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,NOT_SELECTED -
PPPGAK,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,NOT_SELECTED -
Itch NRS,NOT_SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
Skin Discomfort/Pain VAS,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
PASI,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
BSA,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
EQ-5D,SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED -,SELECTED -,SELECTED X,-
PNQ,SELECTED -,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
PBQ,SELECTED -,SELECTED -,SELECTED -,SELECTED X,SELECTED X,SELECTED -,SELECTED X,SELECTED -,SELECTED X,-
WPAI: PSO,SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED X,-
"Photography""",SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,SELECTED -,SELECTED X,-
Dispense IP,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -
Return and Count IP Tablets,NOT_SELECTED -,NOT_SELECTED -,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
