Period/Phase,Screening, , , ,Randomized-Controlled, ,Period, , ,Clinical Deterioration,,,,,,,,
EQ-5D-5L, ,NOT_SELECTED,SELECTED, ,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED, ,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED, 
"MGC6,",NOT_SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED,SELECTED X
MGFA-PIS6,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED
C-SSRS Since Last Visit Version,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED,NOT_SELECTED
ECG,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED
AChR Ab,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,SELECTED,SELECTED X
Clinical Lab Tests9,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED NOT_SELECTED,SELECTED,SELECTED X
Pregnancy Test10,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED
"PK, Free C511",P,T/P,NOT_SELECTED,T/P,NOT_SELECTED,T/P,T/P,NOT_SELECTED,T/P,NOT_SELECTED,T/P,NOT_SELECTED,T/P,NOT_SELECTED,T/P,NOT_SELECTED,SELECTED T,SELECTED X
ADA11,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED X
Patient Safety Information Card12,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
Ravulizumab Infusion¹ 13,SELECTED X,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED
