Procedure, , , , , , , , , , , , , , ,Notes
Visit,1,2,2.5,3,3.5,4,4.25,4.5,5,6,7,If needed,If needed,Follow up, 
Vital signs,SELECTED X*,SELECTED,SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X*,SELECTED X*,SELECTED X,
Laboratory Testing, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,
Pregnancy test (women of child- bearing potential only),S,U,NOT_SELECTED,SELECTED U,NOT_SELECTED,U,NOT_SELECTED,NOT_SELECTED,U,U,U,U,U,U,
Hematology with differential,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,SELECTED X,
Coagulation test (INR only),NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Hepatitis B surface antigen and Hepatitis C antibody,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,
Clinical chemistry,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,
Urinalysis,X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,X,SELECTED X,NOT_SELECTED,
Nasal mucosal lining fluid sample,NOT_SELECTED,SELECTED X, , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,
Pharmacokinetic (PK) sample,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED, ,SELECTED X,X,SELECTED X,SELECTED X,NOT_SELECTED NOT_SELECTED,
"Biomarker sample (blood, urine)", ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,
RNA transcriptome research,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,
Pharmacogenetic sample,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED *,NOT_SELECTED,NOT_SELECTED,SELECTED *,SELECTED,SELECTED *,NOT_SELECTED, , 
Other Administrative Procedures,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Dispense investigational product (IP),NOT_SELECTED, ,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
Collect used IP/conduct accountability,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED
Dispense MFNS for use as background therapy,SELECTED X, ,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
"Instruct subjects on Diary use, if all screening eligibility criteria are met",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , , , , , , , , ,NOT_SELECTED
Review Diary,NOT_SELECTED, ,SELECTED X,NOT_SELECTED,SELECTED X,NOT_SELECTED,SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED,X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
Complete eCRF,SELECTED X, ,SELECTED X,SELECTED X,SELECTED,SELECTED X,SELECTED,SELECTED,SELECTED X,SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X
