, ,Visit 1,Visit 2,Visit 3,Visit 4/Exercise Training 1,Exercise Training 2,Exercise Training 3,Exercise Training 4,Exercise Training 5,Exercise Training 6,Exercise Training 7,Exercise Training 8,Exercise Training 9,Exercise Training 10,Exercise Training 11,Exercise Training 12,Exercise Training 13,Exercise Training 14,Exercise Training 15,Exercise Training 16,Exercise Training 17,Exercise Training 18,Exercise Training 19,Exercise Training 20,Exercise Training 21,Exercise Training 22,Exercise Training 23,Exercise Training 24,Exercise Training 25,Exercise Training 26,Exercise Training 27,Exercise Training 28,Exercise Training 29,Exercise Training 30,Exercise Training 31,Exercise Training 32,Exercise Training 33,Exercise Training 34,Exercise Training 35,Exercise Training 36 /Visit 6,Visit 7
11,4) Electrocardiogram,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , , , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,SELECTED X
12,5) Serum or Urine Pregnancy test,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,"Training Visit 13, 14 or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or 15",NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
13,6) Clinical labs and urine,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, ,"Training Visit 13, 14 or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or 15",NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
14,Questionnaires:,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
15,1) Fatigue Severity Scale (FSS),SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
16,2) PROMIS,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X
17,Procedures:,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , , , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
18,Cardio Pulmonary Exercise Test (CPET),NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED, , , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
19,Arterial Occlusion Muscle Oxygenation Capacity Test,NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED, , , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , , , , , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,SELECTED X
20,Square Wave CPET (swCPET),NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED, , , ,NOT_SELECTED, , ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED
21,Fatigability Test (10 minutes),NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, , ,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
22,Near Infrared Spectroscopy (NIRS),NOT_SELECTED,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
23,Bioimpedance Cardiography Test (ZCG), ,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X
24,Modified Treadmill Exercise Training 20 minutes,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
25,Treadmill Exercise Training 30 minutes, ,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED,NOT_SELECTED
26,Non-Invasive Vascular Function Testing (Optional), ,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,"Training Visit 13, 14 or 15","Training Visit 13, 14 or 15","Training Visit 13, 14 or 15",NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,NOT_SELECTED,SELECTED X,NOT_SELECTED
