,PageNo,Text 
0,page_0,"Reducing Inequities in Care of Hypertension: Lifestyle Improvement for Everyone (The RICH LIFE Project): Study Protocol A study to compare the effectiveness of health systems versus multilevel interventions to reduce hypertension disparities NCT02674464 PRINCIPAL INVESTIGATORS: LISA A. COOPER, MD, MPH JILL MARSTELLER, PHD, MPP September 2015 – August 2022 October 15, 2021" 
1,page_1,JHU Protocol | 10.15.21 1 Table of Contents 1. Background/Significance .........................................................................3 2. Objectives ................................................................................................8 3. Design ......................................................................................................12 4. Recruitment of practices ..........................................................................18 5. Recruitment of participants ......................................................................24 6. Interventions ............................................................................................29 7. Measurements ..........................................................................................61 8. Analysis....................................................................................................65 9. Quality Contro l and Quality Assurance ...................................................69 10. Ethics ........................................................................................................72 11. Data Handling and Recordkeeping ..........................................................76 12. Publication Policy ....................................................................................77 13. Ancillary S tudies ......................................................................................81 14. Appendices ( separate document ) 
25,page_25,"JHU Protocol | 10.15.21 25 To attempt to minimize loss to follow up: i. The study will send out a 6- and 18-month survey reminder letter to all study pa rticipants two weeks prior to the month in which their follow -up survey call is due. ii. The study will send out a 12- and 24-month survey reminder letter to all study participants approximately six weeks prior to the month in which their follow -up survey call is due. iii. The study call center will call participants a minimum of six times in the 6 months after the follow up date for the 12 month survey and 6 months after the follow up date for the 24 month survey. The study may also send up to two reminder letters for 12- and 24- month follow-up survey calls. The call center will also reach out to contacts provided by participants to attempt to reach the participant. iv. In cases where a patient cannot complete follow -up interviews due to limited phone minutes, we will mail a paper version of follow -up interviews with a return envelope. v. In addition, at intensive intervention sites, the CC/Stepped care team will attempt to engage the participants. The team will follow the missed intervention appointment protocol shown in Figure 5."
26,page_26,"JHU Protocol | 10.15.21 26 Figure 5: Missed Intervention Appointment Protocol F. Participant compensation: Each patient participant will be compensated as follows: 1. Patients in the CC/Stepped Care arm receive: i. A home BP monitor , valued at $90. These monitors serve several purposes. First, they serve to engage the patient in self- management and as the incentive to complete the First Intervention Visit for the study. Second, they provide additional BP data for analysis for the research team. Finally, i t provides the CC t eam a picture of the patient’s BP between visits and allow them to compare home readings with office readings to determine whether clinical readings are falsely elevated due to doctor’s office anxieties (otherwise known as “white coat hypertension”). ii. A 7-day pillbox , valued at $5. Patients receive the pillboxes at their F irst Intervention Visit to assist with medication adherence. iii. A tote bag, valued at $5. Patients receive the tote bags at their First Intervention Visit (FIV) to carry their home BP monitors to and from primary care visits, as well as to store education materials. 2. All patients , in both arms, receive an honorarium of $25 for completing each of the baseline, 12-month, and 24-month surveys to assess patient-reported outcomes. They also receive an honorarium of $10 for the adverse events surveys conducted at 6 and 18 months. This will total $95 for participants who complete all surveys. 3. Patients who participate in an additional 60- 90 minute interview about their life experiences related to trau ma will receive an honorarium of $60."
27,page_27,"JHU Protocol | 10.15.21 27 Section 6: Interventions A. Implementation/Conceptual Framework: Our previous research on CVD health disparities has been guided by an ecological model , which we adapted to address domains relevant to the identification, health behaviors, shared decision- making, guideline -concordant care, and disparate outcomes of HTN among racial and ethnic groups.108 For our overall approach, we will continue to use this broad and inclusive framework . We are intervening at the practice level by introducing a new model of care delivery and additional staff; at the provider and staff level by offering training to increase technical, interpersonal, and cultural competencies; and at the individual patient and interpersonal level s via training, encouraging home monitoring and including patients’ family members and caregivers if desired. Community and policy levels are addressed by engagement of community residents and organizational leaders, payers and policy- makers on our CAB in all aspects of the research. This project transforms primary care delivery to address the needs of patients with HTN and other chronic conditions; thus, we have selected the Expanded Chronic Care Model (ECCM) 109 to guide our intervention implementation (Fi gure 6). The ECCM is a framework for redesigning health care and addressing deficiencies in care of chronic conditions. It builds on the CCM 92 by integrating concepts and strategies from population health promoti on. The model can be applied to several chronic conditions, including HTN, diabetes, CHD, and depression. It can also be used in different target populations and care settings. The elements of the model are: community, health system, self - management suppor t, delivery system design, decision support, and clinical information systems. Evidence -based change concepts in each element, when combined, lead to activated patients, responsive healthcare teams, productive interactions, improved care and health outcome s, and reduced costs. 110 We also are using a Collaborative Care Framework modeled after TEAMcare111 in our CC/Stepped Care arm. We used the Johns Hopkins Health Care (JHHC) Population Health Framework (see Figure 7) to inform our practice -based CC model for high and medium risk patients with HTN. We selected the interventions and comparator to meet increasing health care standards focused on quality improvement, care management and attention to high-need populations, integration of behavioral health in pr imary care, and team -based care. 112-114 Figure 6: Expanded Chronic Care Model"
28,page_28,"JHU Protocol | 10.15.21 28 Figure 7: Johns Hopkins Health Care (JHHC) Population Health Framework 1. Population identification and risk stratification – see Section 5 2. Assessment of behavioral, social, and care management needs. Onc e patients at CC/Stepped Care sites have been enrolled in the study, a Care Manager at each site perform s a clinical/health status and behavioral/psychosocial assessment with the patient using a comprehensive health assessment tool developed to address NCQA Patient -Centered Medical Home Population Health Management requirements115. The clinical assessment, completed with the patient, includes the following domains: health status, medication history, activities of daily living, life-planning activities, cultural and linguistic needs, caregiver resources, barriers to care, available benefits, substance abuse treatment/social resources, and pain. The behavioral/ psychosocial assessment, also completed with the patient, includes the following domains: smoking/tobacco use, alcohol/substance abuse, nutrition, physical activity, stress, depression, literacy, and cognitive function. Patients also complete personal health goals and priorities assessments. 116 3. Integration of assessment findings into care pl an. A CC team consisting of a PCP, a Care Manager (who is an RN or LPN), and other available professionals, is created at each"
29,page_29,"JHU Protocol | 10.15.21 29 CC/Stepped Care practice site using existing staff (if possible) or new staff (if needed) who are trained to address the compone nts of the patient’s care plan. 4. Engage patient in agreement with a care plan. After patients have enrolled in the study (see Recruitment and enrollment above), Care Managers from CC/Stepped Care practices complete a comprehensive health assessment built to address NCQA population health management domains, including each patient’s personal health goals and priorities. The goals tool asks if they have goals related to their health and probes specifically about goals related to CVD risk factors and treatment, diabetes, and depression. The Care Manager asks patients to choose at least one goal with a target (e.g., lose weight, increase physical activity, improve diet, monitor BP and/or blood sugars more often, take medications regularly, quit smoking). Care Managers work with each patient to develop a specific action plan and determine resources necessary to achieve the identified goals. 5. Employment of risk -stratified CC protocols. The experimental intervention is implemented at half of the practices (n=15). This multilevel intervention includes the practice -based CC team with the option of stepping patients up (if their SBP remains ≥140 and/or DBP ≥90 after 3 months or 1 month in extenuating circumstances) to either obtain subspecialist consultation or to see a CHW. The CHW is an integrated member of the team and supports patients in reaching their self -management goals; help s patients address social and environmental barriers to engaging in care through outreach and navigation services; and engages , activate s, and empower s patients and their support system to participate in the care process. After three additional months (or one month in extenuating circumstances), if a patient’s BP continues to be uncontrolled or becomes uncontrolled, the CC team has the option of stepping the patient up again (adding either subspecialist consultation or CHW, as guided by the protocol). Th us patients in CC/Stepped care can receive CC only; CC+CHW; CC+Specialist; or CC+CHW+Specialist care. The CM may deploy a CHW prior to one month if the patient is willing to work with a CHW AND at least one of the following conditions is met: no-show or difficult to engage patient; cardiac event in the last 12 months, with no follow-up appointment; inability to perform activities of daily living with no resources; no access to transportation; utility shut offs; food insecurity; domestic violence; poor/unst able housing; special request from the patient and/or the PCP. 6. Reassessment at determined intervals or milestones. Patients in CC/Stepped Care are reassessed per protocols based on their levels of BP and CVD risk factor control, weekly, biweekly, or monthl y, until goals are attained. B. Intervention approach: In UH2, our intervention was a stakeholder engagement process to plan and test recruitment for the trial. In UH3, we are conducting a two arm, prospective cluster -randomized trial and study of multi-leve l factors affecting implementation, quality improvement & disparities. 1. Arm 1: Standard of Care - Plus (SCP) Comparator Intervention: BP Training, HTN Education, and Audit/Feedback. Consistent with our conceptual model, practices in the comparator group are recei ving an audit, feedback and education intervention that targets the health system overall (designated practice champion leadership support for improvement); the delivery system (evidence-based training to improve BP measurement, improve HTN care and overcome practice inertia for providers and staff); and the clinical information system (feeding back HTN control performance at practice and provider levels). This multi- level strategy is designed to reinforce and standardize evidence -based HTN care pract ices across intervention and comparator practices. SCP is being implemented at half of the practices. SCP includes audit and feedback using a HTN dashboard and a linked educational intervention. The latter aims to: 1) standardize BP measurement technique and 2) enhance provider and staff awareness of evidence-based approaches to overcome practice inertia, improve follow-up, and engage patients in self-"
30,page_30,"JHU Protocol | 10.15.21 30 care. Our goal is to integrate audit and feedback of HTN control performance, proper BP measurement techniques, and HTN care best practices as “usual care” at each practice. Each practice is required to have capacity to generate reports on HTN control rates by practice and provider using EMR data and to identify a practice champion (usually a physician) to lead the audit, feedback, and education intervention implementation. Education for all staff on proper BP measurement technique is also featured in this study arm. Practice champions receive support for facilitating: 1) distribution of feedback reports; 2) delivery of training on BP measurement technique and evidence-based strategies to improve HTN care and control, and 3) standardized BP measurement with automated BP measurement devices for screening and confirmatory measurement. Many of the materials provided to practice champions are adapted from previously developed materials and given to practice teams in both interventions (see Table 5 below). The interventions given to this arm are: i. BP Measurement Train ing ii. HTN Care and Control Best Practices Train ing iii. HTN Dashbo ard iv. System Level Leadership Interven tion 2. Arm 2: Multilevel, Collaborative Care/Stepped Care Intervention (CC/Stepped Care). Consistent with our conceptual model, our intensive intervention include s changes in the health system (leadership support for improvement, promotion of comprehensive improvement st rategies); delivery system (defined roles and distributed tasks among team members, clinical care management for complex patients, planned interactions to support evidence-based care, regular follow-up, culturally and linguistically tailored care); decisio n support (use of proven provider education methods, evidence- based guidelines embedded into daily practice, information sharing with patients to encourage participation); Table 5: Tools available to Practice Level Champions, Providers, and Staff in Both Interventions Category Tool/material name Description Tools to facilitate team meetings Dashboard Champion Guidebook Describes best practices for facilitating discussions on feedback reports, with emphasis on applying a non-punitive approach, collecting input from diverse sources, and generating an action plan Tools to collect supplemental data Dashboard Champion Guidebook Describes how to use the practice’s EMR to filter, stratify or disaggregate feedback data to facilitate sense -making by providers IHO:BP Act Rapidly tool117 A brief chart audit tool that uses data from 12 office visits to identify care patterns relate d to practice inertia and suboptimal follow -up IHO:BP Partner with Patients tools117 Set of brief patient survey cards designed to solicit patient input prior to or after an office visit. Includes a tool to solicit perceptions of interactions with the care team during an office visit, and a tool to obtain patient perceptions barriers to adherence. Tools to generate improvement ideas and engage patients Fast Facts sheets Brief 1 -2 page evidence -based summaries of interventions to overcome practice inertia , improve follow -up, and engage patients in self -care Million Hearts Campaign compendium of resources118 Online collection of tools, videos and resources collected by the Million Hearts Campaign and available for public use Heart360119 Online collectio n of patient self -management tools, educational resources and patient-provider communication tools developed by the American Heart Association/American Stroke Association. Many tools may be used with mobile devices Patient education tools compendium Indexed collection of online patient educational handouts published by federal and state health agencies Five Plus, ACT, and DECiDE, study educational modules 108,120,121 Educational tools to promote healthy eating and food purchasing, physical activity, taking medications, and self-monitoring to control blood sugar, BP, and lipids Training materials Evidence -based strategies to improve HTN care and control Online, asynchronous didactic training will be provided through enduring webinars on: 1) Improving High Blood Pressure Treatment and Control Introduction, 2) Hypertension Guideline Updates: 2017 ACC/AHA, 3) Promoting Timely Treatment and Follow up, 3) Engaging Patients in Self-Managing their Hypertension . MDQuit.org Online collection of self -help tools a nd Maryland resources for smoking cessation ReDCHiP communication skills modules62 Online, interactive patient-provider communication skills training ReDCHiP BP measurement training62 Online training videos targeting BP measurement technique"
31,page_31,"JHU Protocol | 10.15.21 31 clinical information systems (subpopulation identification for proactive care; monitoring performance of practice teams, sharing of information to coordinate care); self -management support (emphasis of the patient’s central role in managing their health, use of effective self -management support services); and organization of internal and community resources to provide ongoing support to patients. Everything included in SCP is provided to practices randomized to the CC/Stepped Care arm. The interventions given to this arm are: i. BP Measurement Training (see description on page 35) ii. HTN Care an d Control Best Practices Training (see description on page 39) iii. HTN Dashboard -Audit/Feedback (see description on page 40) iv. Collaborative Care Intervention (see description on page 4 2) v. Step up to: Community Health Worker (see description on page 45) vi. Step up t o: Subspecialist consultation core (see description on page 50) vii. System Level Leadership Intervention (see description on page 52)"
32,page_32,"JHU Protocol | 10.15.21 32 Section 6C: Interventions Description: UH2 Engagement 1. Approach/Background: Our Center has relied on the Baltimore community since its inception, incorporating community input to shape the center, interventions tested in our research projects, and plans for dissemination of our work. The process of working together has allowed us to begin bridging the cultural gap between resea rchers and the Baltimore community and for traditionally marginalized communities to gain power through the acquisition of new knowledge. To guide the Center’s goals and objectives, a CAB was formed, which includes important stakeholders — political leader s, health care providers and administrators, patients, insurers, the Baltimore City Health Department and state of Maryland Department of Health and Mental Hygiene, faith community representatives, and community organizations. The board meets as a group 4 times a year; but CAB members are involved in other Center activities throughout the year. Community input has been vital to the success of the Center, with faculty and staff asking the community for feedback on research methods and support of our training activities. In turn, Center faculty attend community forums where we educate the public about health and healthcare research and connect individuals with local health -related resources. We also provide technical support to community groups seeking funding and resources for their services. During UH2, we engaged a wide variety of stakeholders that fell broadly into four categories: Health System -level leadership, Site -level leadership, CC Team Members, and CAB members, including patients and caregivers. We engage d with them on all aspects of the study, but in particular at three main levels, described below. 2. Engagement plans by stakeholder group and level of engagement a. Level 1: Introduction to Project: We orient ed each stakeholder group to the study, giving them information that will provide context for their involvement in the study. i. Health System -level leadership: 1. At initial orientation meetings, we began an exchange of information between project team and health system leadership. Together we identified appropriate contacts to weigh in on the implementation of this project (e.g., IT, clinical education, nursing) 2. At subsequent integration meetings, we discuss ed how the project fits into the organization’s priorities including appropriate contacts provided during orientation, and explore site -specific challenges, such as processes and culture, that need to be incorporated in the intervention protocols and training 3. We conduct ed individual in -depth interviews with system leaders 4. We also facilitated in -person introductions at the kick -off meeting ii. Practice- level leadership: 1. When the health system identified practice -level champions, we provided these individuals with a detailed written overview of the entire project along with a cover letter that explains the natu re of the practice’s involvement in the study. iii. Practice- level clinicians and staff: 1. Prior to the launch of the blood pressure measurement intervention, we provided a written introduction to all the providers, nurses, and clinical staff at the participatin g practice. This introduction will include: a. A welcome letter b. An overview of the study c. A project timeline for the participating practice d. A table outlining project activities and how the activities impact the providers and staff/what is required of the pro viders and staff e. Next steps iv. CC Team Members: 1. We provided a detailed written overview of the entire project along that explains the role of CC team members"
33,page_33,"JHU Protocol | 10.15.21 33 v. CAB 1. We summarized the purpose of the project and protocol on a high level during each CAB meeting b. Level 2: Protocol Review: Several of our stakeholders joined us in developing the protocols for the study. We continue to make a concerted effort to have the various groups review the protocols at each stage of development to ensure that the perspectives o f each type of stakeholder are incorporated. We believe this ensures a study that is scientifically sound and responsive to the pragmatic needs of the practices, patients, and the broader community. i. Health System -level leadership: 1. We conduct ed a series of meetings to review and solicit feedback on the planned intervention components. a. Before the meeting s, we: i. Sent relevant sections of the protocol with basic questions to the leaders b. Attendees at these meetings included: i. Health System champions ii. Administrati ve champions iii. Practice champions iv. Other health system staff: IT, clinical educators, existing CHWs and/or CMs 2. Requested their support to engage clinicians and patients at their practices in protocol reviews 3. Reviewed and provided thoughts on planned health equity leadership curriculum and network schedule/structure ii. CAB 1. We engaged CAB members to read sections of the protocol related to patient recruitment, surveys, and intervention contacts, and provide feedback 2. We requested CAB members to participate in workgroups developing protocols 3. Some CAB members were invited to review health equity leadership curriculum and network schedule/structure c. Level 3: CAB meetings: We continue to hold quarterly meetings of our CAB to facilitate communication with our community stakeholders, keeping them informed of our progress as well as making outreach efforts to the community. CAB meetings are a forum wherein we can ask for stakeholders to discuss big picture issues, review materials, and pilot -test surveys. i. Health System -leve l leadership: We will continue to : 1. Invite System-Level Champions to attend CAB Meetings 2. Request assistance in recruiting patients from each system to serve as patient representatives ii. Practice- level champion: We will continue to: 1. Ask practices to identify p atients to include on CAB 2. Ask practices for representatives to participate in study work groups iii. CC Team Members: We will continue to : 1. Ask for input on questions and topics to discuss with the CAB (e.g. patient and community attitudes regarding CHWs making home visits) iv. CAB: We will continue to: 1. Provide high-level status updates with additional details in documentation"
34,page_34,"JHU Protocol | 10.15.21 34 2. Engage with regard to finding additional patient representatives. We continually ascertain feedback on how best the CAB may contribute to stu dy protocol, implementation, and dissemination of results. Section 6C: Interventions Description: BP Measurement Training 1. Both Study Arms: a. OMRON HEM -907XL BP Devices : We distribute d one OMRON HEM -907XL BP device kit (which include the main unit and key accessories) for each PCP -MA pair at 29 of our 30 practice sites. The OMRON HEM-907 is the gold standard for automated BP devices and has been validated against the British Hypertension Society Standard.122 It has an excellent record of reliability and validity and has been used in numerous research studies including those done by our team here at Johns Hopkins. Our team is familiar with these machines and has found them highly durable. Each kit will contain one device, four sizes of cuffs (S, M, L, XL), a rolling stand, and an AC power adapter. The devices have been introduced and practice staff were trained on their use at least 3 months before the collaborative care and stepped care interventions roll ed out in the practices. One practice had recently in stalled automated blood pressure machines, the Welch Allyn Connex Spot Monitor with Sure BP NIBP, model 71XX- B in all of the examination rooms and elected to not use the OMRON HEM-907XL. The device that they use was validated in a published report in 2011 which uses the American National Standards Institute, the Association for the Advancement of Medical Instrumentation, and the British Hypertension Society protocol for validation. These devices have also been programmed to automatically obtain 3 back- to-back measurements after a timed rest period, consistent with the Screen/Confirm process we have implemented at other sites. The patient’s blood pressure would be measured on the same device at baseline and follow-up and our blood pressure outcomes are based on change in blood pressure or blood pressure control. On final analysis, we would conduct a sensitivity analysis removing this practice to determine if it affects our results. b. Practice champion leadership support for improvement: Each practice has identified , or is in the process of identify ing a practice champion (usually a physician) , to lead the audit, feedback, and education intervention implementation. See section 4E of protocol for details on identification, engagement and responsibilities of pra ctice champion at each site. Practice champions and super- users receive support for facilitating: 1) delivery of training on BP measurement technique and standardized BP measurement with an automated BP measurement device: 2) web -based training in evidence -based strategies to improve HTN care and control and 3) distribution of feedback reports (see section 6C: Hypertension Dashboard); i. Practice Champion Guidebook : Practice champions are provided with access to the online Practice Champion Guidebooks. The guidebooks describe best practices for promoting required training, facilitating discussions on feedback reports, with emphasis on applying a non-punitive approach, and collecting input from divers e sources. These also serve as the Manual of Operations with detailed BP measurement protocols. ii. Education: The education intervention include s 1) BP measurement training and 2) HTN care and control best practices training. The educational content is delivered to practice -based providers and staff through asynchronous online modules with interactive assessment. (Modules are available to providers and staff online at www.richlifeprogram.org . If a member of the HDR -PP team or the DSMB would like to preview the website, please contact the study team for a login.) Content is"
35,page_35,"JHU Protocol | 10.15.21 35 understandable to all members of the care team and describes how practice- based teams could address each of these topics. Though online modules are asynchronous to allow flexible viewing for providers and staff, sites are encouraged to consider practice team “group” education sessions using the training modules and return demonstration application exercises. Ongoing site support and reinforcement of BP measurement and HTN care and control best practices is provided through several mechanisms including an online discussion board with monitoring by study staff to address frequently asked questions and troubleshoot BP measurement challenges, and a periodically updated blog on the RICH LIFE website. Each of these training and support mechanisms is made available to sites prior to entering active intervention status, and will be available to sites through the duration of the study. We continue to work with health system partners to identify which support mechanisms the health systems and practice sites prefer. iii. Role of Health System Champion: The study team introduced health system champions to the educational training materials/resources prior to training implementation and full access to training materials, resources, and recommended training timeline 4 weeks in advance of the introduction of the devices into their practice. This was done so that site teams could complete training and “ra mp up” in preparation for the active intervention phase. Health system champions w ere responsible for connecting the research team with the clinical education and/or clinical operations team to review the protocol and tailor implementation plans for the he alth system. Along with the study team, health system champions coordinated communication between the health system’s clinical education team and the practice champions. iv. Role of Practice Champion: Champions, together with clinical education/operations, have helped to lead implementation of the education intervention at the site level . The study team provided password -protected access to online materials only after pre - intervention data were received. Along with clinical education/operations, practice cham pions inform ed providers and staff of the training modules and resources and encouraged them to visit the online training site and complete the training during the two weeks just after the introduction of the devices to the practice. All practice team memb ers at each site were asked to complete all relevant modules within 4 weeks of receiving online training site access. The study team monitor ed completion of module viewing and provided the practice champion with a list of completers and non - completers on a weekly basis. Provider and staff turn-over is expected over the course of the study and new providers and staff are encouraged to complete the training modules within 4 weeks of joining the site team. Study staff monitors completion of online training m odules by site. c. BP Measurement Training: Practice staff received standardized BP measurement protocols, training materials, and resources to standardize BP measurements at all participating practices using a “tiered” approach. i. Role of Health System’s Clinical Education Department and Super User 1. Clinical education department s, with input from practice champions and administrators, are identifying super- users at each practice. Super -users will be responsible for BP measurement operations at th eir site, including Omron HEM- 907XL troubleshooting and assisting in staff training as requested by the health system. 2. Romsai Boonyasai, MD, MPH; Jeanne Charleston, RN; Cheryl Dennison Himmelfarb, RN, PhD, who have expertise in clinical education and implementation of BP measurement processes, conduct ed “train -the- trainer”"
36,page_36,"JHU Protocol | 10.15.21 36 sessions with each health system’s clinical education department (or equivalent) on the standardized BP measurement protocol and how to certify practice staff for BP measurement competency. The health system may have chosen to include super- users in the train -the-trainer session or independently train the super -users prior to the clinical staff training and certification. Super- users must demonstrate facility in training methods prior to teaching practice staff and will be recertified annually. (1) Super- users may assist clinical educators in teaching practice staff a standardized process whereby patients with screening BP ≥140/90 mm Hg should receive a confirmatory BP measurement, also using the Omron HEM-907XL device. Once activated, the Omron HEM-907XL will delay cuff inflation for 5 minutes and then perform a series of three BP measurements spaced 30 seconds apart. The mean of these three readings will be recorded in the EMR, in the 2 nd BP reading field, (the screening measurement will be recorded in the 1st BP reading field). 3. Clinical educators and super- users “certify” all CMAs as competent to measure BP by directly observing at least 1 BP measurement per CMA and confirming that they have been performed in accordance with a standardized certification checklist . (1) All CMAs receive detailed, interactive online education focused on techniques to measure BP (2) All PCPs and supervising staff receive detailed education focused on information needed to supervise/support CMAs (3) The competency process involves remedial training/testing of CMAs who fail the initial competency process (4) The research team is monitoring terminal digit preference through EMR data and are shar ing this information with clinical edu cators, super- users, and practice administrators . The research team is working with health system leadership, practice leadership, and clinical education to develop system- and practice- wide approaches to address high levels of terminal digit preference in cluding, but not limited to: one-on-one and group meetings with providers and staff, health system purchasing of additional BP devices, and problem-solving workflow issues. (5) Clinical educators apply a standardized protocol for formally re - assessing CMAs’ BP measurement technique annually. 4. Clinical educators, super -users, and practice administrators also received: (1) Information about annual maintenance and calibration of the OMRON devices. (2) Educational labels for each OMRON device, written and video training ma terials, and role -play scenarios to use in training sessions. ii. Fidelity Audit of BP technique by study staff 1. The objectives of the blood pressure measurement Fidelity Audit Process are to: (1) Assess fidelity to the RICH LIFE blood pressure measurement process ( “the BPM protocol”) in order to (a) confirm the validity of clinical blood pressure measurements obtained during the RICH LIFE study and (b) provide clinics with"
37,page_37,"JHU Protocol | 10.15.21 37 feedback on their adherence to the BPM protocol so that they may continually improve their blood pressure measurement procedures. (2) Identify process- related, health care worker -related, and/or patient -related factors that may contribute to non -adherence to the BPM protocol. These factors may supplement feedback on adherence with additional, actionable information that may direct clinics to areas where they can most effectively improve. 2. One of our clinical experts or a research assistant certified in proper BP measurement techniques is visit ing each practice site twice in the year following the introduction of the OMRON devices, and once per year thereafter, until a total of three fidelity audits occur, to observe the CMAs and ensure that they are following the BP measurement protocol and using the devices (Table 6). We had intended to complete four fidelity audits at each practice; however, the COVID - 19 pandemic caused significant disruption in the planned timing of the fidelity audits. Additionally, safety concerns for research staff, patients, and practice staff have led us to eliminate the fourt h fidelity audit. Table 6. BP Measurement Fidelity Audits Purpose and Timing Audit Occurrence Purpose of the Visit Timing of Visit Fidelity Audit Visit 1 • Provide formative feedback • Offer opportunities to improve N/A Fidelity Audit Visit 2 • Provide formative feedback • Offer opportunities to improve 6 months after visit 1 Fidelity Audit Visit 3 • Provide formative feedback • Offer opportunities to improve 6-8 months after visit 2 3. The observer attempts to observe all of the CMAs working the day they visit the practice, not just one CMA multiple times. If there are more than 10 CMAs working, the observer stops after 10 sessions. 4. The observer, with the permission of the patient being observed, records whether the CMA follows the evidence- based measurement process. These observations are reported back to each practice champion so that, if needed, re- training on protocol procedures can be initiated. d. BP Measurement Protocols The BP Measurement Protocols are a comprehensive resource to promote proper BP measurement technique that are available to all site providers and staff and serves as a training resource for super-users. Key BP measurement procedures detailed in the Champion Guidebook and online at www.richlifeprogram.org include: i. Obtain an automated screening BP measurement ii. Obtain a manual screening BP measurement (to be used when a patient does not fit the available automated device cuffs, or if there is another patient -related reason why the automated device cannot be used) iii. Obtain an automated confirmatory BP measurement iv. Daily maintenance of the BP measurement equipment v. Annual inventory and inspection of BP measurement equipment. In addition, the manual provides information about the OMRON HEM -907XL automated device, a certification test for BP measurement, and a performance checklist for BP"
38,page_38,"JHU Protocol | 10.15.21 38 measurement training . e. Online Training Module(s) Targeting BP Measurement Technique A series of 4 modules, approximately 28 minutes in total length will address key aspects of BP Measurement Procedure : i. Patient preparation ii. Use of automated BP measurement device (OMRON) to obtain a screening BP measurement Position iii. Use of automated BP measurement device to obtain confirmatory BP measurements iv. Use of sphygmomanometers for screening and confirmatory BP measurements of patients who cannot have an accurate reading taken using automated device. To promote provider buy-in, we provide evidence supporting the validity of the project’s BP measurement process and describe the importance of accurate BP measurements."
39,page_39,"JHU Protocol | 10.15.21 39 Section 6C: Interventions Description: HTN Care and Control Best Practices Education 1. Online training modules : Online training modules : We will deliver online, didactic training on evidence- based strategies to improve HTN care and control. The training will be available online at www.richlifeprogram.org . The training will be offered through four asynchronous, 5-7-minute online modules, which providers and staff can view at their convenience, with interactive knowledge assessment. Modules will address critical aspects of improving HTN care and control: a. Introduction to Improving High Blood Pressure Treatment and Control: Objective is to inform physicians of the significance of hypertension and then to offer strategies to achieve a better hypertension control rate. b. 2017 AHA/ACC Hypertension Guidelines Update: Objective is to introduce the 2017 AHA/ACC guidelines and discuss clinical care implications. c. Promoting Timely Treatment and Follow up : Objectives include review hypertension treatment guidelines, barriers to guideline adherence, and strategies to ensure guideline adherence. d. Engaging Patients in Self- Managing their Hypertension : Objectiv es include identifying strategies to establish and modify an individualized care plan through shared decision making, and to review patient and provider barriers to implementing the care plan. 2. Ongoing Site Support and Reinforcement of BP Measurement and HT N Care and Control Training: Ongoing site support and reinforcement of BP measurement and HTN care and control best practices is provided through several mechanisms including an online discussion board, coaching calls, and a periodically updated blog at www.richlifeprogram.org . Each of these mechanisms is made available to sites upon entering active intervention status and will be available to sites through the duration of the study. a. Online Discussion Board We have created an online discussion board with monitoring by study staff to facilitate timely response and assistance to sites for frequently asked questions and troubleshooting of BP measurement or equipment challenges. Frequently asked questions and common solutions are curated to allow topical searches by site teams. b. Coaching Calls Twice quarterly conference calls promote site engagement and provide support for ongoing study interventions including BP measurement and HTN care and control best practices. H ealth system champions, practice champions and Super- users are encouraged to participate in the coaching calls. Jill Marsteller, PhD , MPP lead s the conference calls and invites Lisa Cooper, MD, MPH, Romsai Boonyasai, MD, MPH, Jeanne Charleston, RN, or Cheryl Dennison Himmelfarb, RN, PhD to provide ongoing consultation on implementation and workflow concerns as needed. Beginning in April 2019, we transitioned from twice quarterly coaching calls to once quarterly coaching calls. This change in frequency occ urred after the implementation of all the interventions at all health systems. c. Blog A periodically updated blog shares information with practices on a variety of topics. Practice champions are encouraged to print and share information with their teams. Cu rrent and future content may include (1) Written or video responses to practice questions about the protocol and OMRON, (2) reinforcement of proper BP measurement technique, (2) examples of successful site HTN care improvement strategies, (3) HTN treatment guideline updates, and (4) summary of recently published HTN research that may influence treatment decisions."
