,PageNo,Text
10,page_10,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 11 7.9.3. Prohibited Medications and Non-Drug Therapies ......................................................58 7.9.4. Permitted Medications and Non-Drug Therapies .......................................................60 7.9.5. Requirements for Use of Stable Therapies .................................................................60 7.9.6. Washout of Prior Medications ....................................................................................61 7.10. Patient Voiding Diary .................................................................................................61 7.10.1. Patient Voiding Diary Training/Re-Training..............................................................62 7.11. Urine Volume Diary ...................................................................................................62 7.11.1. Urine Volume Collection Training/Re-Training ........................................................63 7.11.2. Dispense Urine Collection and Measurement Supplies ..............................................63 7.12. Reminders for Diary Collection ..................................................................................63 7.13. Electronic Diary ..........................................................................................................64 7.13.1. eDiary Device Set-Up and Training ...........................................................................64 7.13.2. Device Training/Re-Training ......................................................................................64 7.14. Patient-Reported Outcomes ........................................................................................64 7.15. Post-Void Residual Volume .......................................................................................65 7.16. Physical Examination .................................................................................................65 7.17. Electrocardiogram .......................................................................................................65 7.18. Vital Signs ..................................................................................................................65 7.19. Adverse Events ...........................................................................................................66 7.20. Clinical Laboratory Assessments ...............................................................................66 7.20.1. Chemistry, Hematology, and Urinalysis (Laboratory Safety Evaluations) ................66 7.20.2. -hCG ...............................................................................................................68 7.21. Dispense Single-Blind Run-in Study Treatment ........................................................68 7.22. IxRS Randomization to Study Treatment ...................................................................68 7.23. Dispense Double-Blind Study Treatment ...................................................................68 7.24. Study Treatment Return/Accountability Review ........................................................68 7.25. Administer Witnessed Dose of Study Treatment .......................................................68 7.26. Pharmacokinetic (PK) Sampling (PK Subset Only) ...................................................69 7.26.1. Pharmacokinetic Sample Collection ...........................................................................69 7.27. Follow-up Visit ...........................................................................................................69 8. SAFETY CONSIDERATIONS ..................................................................................70 8.1. Definition of an Adverse Event ..................................................................................70 8.2. Definition of a Serious Adverse Event .......................................................................71"
11,page_11,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 12 8.3. Adverse Event Reporting ............................................................................................72 8.3.1. Period for Reporting Adverse Events .........................................................................73 8.3.2. Reporting Serious Adverse Events .............................................................................73 8.3.3. Study Treatment Overdose Management ...................................................................74 8.4. Assigning Causal Relationship to Study Treatment ...................................................74 8.5. Assigning Severity Rating for Adverse Events ..........................................................75 8.6. Adverse Events of Clinical Interest ............................................................................75 8.6.1. Criteria for Temporary Withholding of Study Treatment in Association with Liver Test Abnormalities ............................................................................................76 8.6.2. Criteria for Permanent Discontinuation of Study Treatment in Association with Liver Test Abnormalities ....................................................................................77 8.7. Pregnancy Management and Reporting to the Sponsor ..............................................78 8.8. Benefit/Risk Assessment ............................................................................................78 9. STATISTICAL CONSIDERATIONS .......................................................................79 9.1. Responsibility for Analyses/In-House Blinding .........................................................79 9.2. Hypotheses ..................................................................................................................79 9.2.1. Primary Objective and Hypotheses ............................................................................79 9.2.2. Key Secondary Objectives and Hypotheses ...............................................................79 9.3. Analysis Endpoints .....................................................................................................81 9.3.1. Efficacy Endpoints ......................................................................................................81 9.3.2. Safety Endpoints .........................................................................................................83 9.4. Analysis Populations ..................................................................................................83 9.4.1. Efficacy Analysis Populations ....................................................................................83 9.4.2. Safety Analysis Populations .......................................................................................84 9.4.3. Pharmacokinetic Population .......................................................................................84 9.5. Statistical Methods ......................................................................................................84 9.5.1. Statistical Methods for Efficacy Analyses ..................................................................84 9.5.1.1. Primary Efficacy Endpoints ........................................................................................84 9.5.1.2. Sensitivity Analyses ....................................................................................................85 9.5.1.3. Secondary Efficacy Endpoints ....................................................................................85 9.5.1.4. Exploratory Efficacy Endpoints .................................................................................86 9.5.2. Statistical Methods for Safety Analyses .....................................................................86 9.5.3. PK Analysis ................................................................................................................86
12,page_12,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 13 9.6. Multiplicity .................................................................................................................86 9.7. Sample Size Determination ........................................................................................87 9.8. Subgroup Analyses and Effect of Baseline Factors ....................................................87 9.9. Interim Analyses .........................................................................................................88 10. STUDY GOVERNANCE CONSIDERATIONS .......................................................89 10.1. Financial Disclosure ...................................................................................................89 10.2. Pre-Initiation Visit ......................................................................................................89 10.3. Data Management .......................................................................................................89 10.4. Monitoring ..................................................................................................................90 10.5. Auditing or Inspections ...............................................................................................90 10.6. Study Oversight Committees ......................................................................................90 10.6.1. Clinical Adjudication Committee ...............................................................................90 10.6.2. Steering Committee ....................................................................................................90 10.7. Protocol Modifications ...............................................................................................91 10.8. Study Discontinuation ................................................................................................91 10.9. Publications .................................................................................................................91 10.10. Investigator-Specific Responsibilities ........................................................................92 10.10.1. Compliance with Regulations and Ethical Standards .................................................92 10.10.2. Protocol Compliance ..................................................................................................92 10.10.3. Institutional Review Board/Independent Ethics Committee Requirements ...............92 10.10.4. Informed Consent .......................................................................................................93 10.10.5. Confidentiality ............................................................................................................93 10.10.6. Study Files and Retention of Records ........................................................................93 10.10.7. Electronic Case Report Forms ....................................................................................95 10.10.8. Investigational Product Accountability ......................................................................95 10.11. Sponsor-Specific Responsibilities ..............................................................................95 10.11.1. Study Report ...............................................................................................................95 10.11.2. Posting of Information on Publicly Available Clinical Trial Registers ......................95 11. REFERENCES ...........................................................................................................96 APPENDICES ...............................................................................................................................98 APPENDIX A. LIST OF ABBREVIATIONS ...........................................................................98 APPENDIX B. ALGORITHM FOR ASSESSING LABORATORY VALUES .....................101
13,page_13,Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 14 APPENDIX C. APPROXIMATE BLOOD/TISSUE VOLUMES DRAWN/COLLECTED BY SAMPLE TYPE ........................................................102 APPENDIX D. GUIDELINES FOR ELEVATIONS IN HEPATIC ENZYMES ....................103 LIST OF TABLES Table 1: RVT-901-3003 Schedule of Activities .......................................................................25 Table 2: Summary of Phase 2b Study 008 and Preliminary Phase 3 Study 301 Efficacy Results ...................................................................................................34 Table 3 RVT-901-3003 Study Treatments ..............................................................................52 Table 4: Listing of Prohibited Medications ..............................................................................59 Table 5: Laboratory Tests .........................................................................................................67 Table 6 Criteria for Determining the Grade/Severity of Adverse Event Terms ......................75 LIST OF FIGURES Figure 1: RVT-901-3003 Study Schematic ................................................................................43
14,page_14,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 15 1. SYNOPSIS Study Title An International Phase 3, Randomized, Double-Blind, Placebo- and Active (Tolterodine)-Controlled Multicenter Study to Evaluate the Safety and Efficacy of Vibegron in Patients with Symptoms of Overactive Bladder Protocol Number RVT-901-3003 Study Center Location(s) International Number of Study Centers Planned ~330 Study Phase 3 Target Population Adult men and women with either: Overactive bladder (OAB) Wet; or OAB Dry Number of Patients Planned ~1400 Study Objectives Primary Efficacy Objective To evaluate the efficacy of vibegron (RVT-901) compared to placebo in patients with symptoms of overactive bladder (OAB), specifically the frequency of micturitions and frequency of urge urinary incontinence episodes Secondary Efficacy Objective To evaluate the overall efficacy of vibegron compared to placebo in patients with symptoms of OAB Safety Objectives To evaluate the safety and tolerability of treatment with vibegron Pharmacokinetic / Pharmacodynamic Objectives To evaluate the pharmacokinetic profile of vibegron in patients with symptoms of OAB To assess relationships between exposure and efficacy/safety in patients with symptoms of OAB receiving vibegron Exploratory Objectives"
15,page_15,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 16 Study Design This is an international, Phase 3, randomized, double-blind, placebo- controlled with active control (tolterodine), parallel-group, multicenter study to evaluate the safety, tolerability, and efficacy of vibegron 75 mg in men and women with symptoms of overactive bladder (OAB). Approximately 1,400 men and women with overactive bladder will be enrolled at approximately 330 study sites. At Baseline, patients who meet all eligibility criteria are randomized 5:5:4 to receive either vibegron 75 mg, placebo, or tolterodine ER 4 mg in a double-blind fashion. Between the Baseline and Week 12 Visits, patients will attend Visits at Weeks 4 and 8. This study consists of a Screening Period (1 to 5 weeks), a single-blind Run-in Period (2 weeks), a randomized double-blind Treatment Period (12 weeks), and a Safety Follow-up Period (4 weeks). Patients who complete the Week 12 Visit may be offered the opportunity to enroll in a 40-week double-blind extension study RVT-901-3004 (which will be conducted under a separate protocol), until enrollment in that study is complete. Patients who do not enroll into the optional extension study will have a Follow-up Visit approximately 28 days after the patient’s last dose of Study Treatment (i.e., at Week 16 for patients who complete the Week 12 Visit, or approximately 4 weeks after withdrawal for patients who discontinue the study early). Additionally, Unscheduled Visit(s) may be arranged for patients with study-related safety concerns as needed. Study Treatments All treatments are dosed orally, once daily (QD). Patients are randomized to one of the following blinded treatments: Vibegron 75 mg tablet + placebo capsule to match tolterodine ER 4 mg capsule (N = 500) Placebo tablet to match vibegron 75 mg tablet + placebo capsule to match tolterodine ER 4 mg capsule (N = 500) Tolterodine ER 4 mg capsule + placebo tablet to match vibegron 75 mg tablet (N = 400) Duration of Treatment 12 weeks Eligibility Criteria Inclusion Criteria 1. Willing and able to provide written informed consent. 2. 8 years of age. Note: Up to 15% of patients can be male. 3. Has a history of OAB (as diagnosed by a physician) for at least 3 months prior to the Screening Visit. Note: OAB is defined as urgency, with or without urge urinary incontinence (UUI), usually associated with frequency and nocturia. Urodynamic evaluation is not required."
16,page_16,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 17 4. Meets either the OAB Wet or OAB Dry criteria described below, based on the Patient Voiding Diary returned both at the Run-in Visit and Baseline Visit (all Complete Diary Days must be used in determining eligibility). A minimum of 5 Complete Diary Days rned at the Run-in Visit, and 4 Complete Diary Days are required for the diary returned at the Baseline Visit. Averages should not be rounded up to the whole number: OAB Wet criteria: 0 micturitions per Diary Day; and An average of 1.0 UUI episodes per Diary Day; and If stress urinary incontinence is present, the total number of UUI episodes must be greater than the total number of stress urinary incontinence episodes from the previous visit diary. OAB Dry criteria: 0 micturitions per Diary Day; and, 0 urgency episodes per Diary Day; and An average of < 1.0 UUI episodes per Diary Day; and If stress urinary incontinence is present, the total number of UUI episodes must be greater than the total number of stress urinary incontinence episodes from the previous visit diary. Note: Up to 25% of patients that meet OAB Dry criteria may be enrolled. 5. For females of reproductive potential: Agrees to remain abstinent or use (or have their male partner use) an acceptable method of birth control (as defined in Section 5.2.1) each time the patient has intercourse from the Screening Visit until completion of the Follow-up Visit. 6. For females of reproductive potential: Agrees not to donate ova (eggs) until at least 1 month after the last dose of Study Treatment. 7. 80% compliance with self-administration of Study Treatment during the Run-in Period. 8. Is ambulatory and in good general physical and mental health as determined by the Investigator. 9. In the opinion of the Investigator, is able and willing to comply with the requirements of the protocol, including completing electronic versions of questionnaires, the Patient Voiding Diary, and the Urine Volume Diary (will require ability to collect, measure, and record voided volume by herself/himself using a"
17,page_17,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 18 Exclusion Criteria Urology Medical History 1. Patient has a history of 24-hour urine volume greater than 3,000 mL in the past 6 months, or a Urine Volume Diary day measurement greater than 3,000 mL during the Run-in Period. 2. Has lower urinary tract pathology that could, in the opinion of the Investigator, be responsible for urgency, frequency, or incontinence; including, but not limited to, urolithiasis, interstitial cystitis, prostate cancer, gastrointestinal (GI) cancer, tuberculosis, stone disease, urothelial tumor, prostatitis, and clinically relevant benign prostatic hypertrophy (BPH) or bladder outlet obstruction, as judged by the Investigator. Note: Male patients with mild to moderate BPH without evidence of bladder obstruction as determined by the Investigator may be included as long as they have been taking a medication for the treatment of BPH for at a least 1-year prior to Screening, with no change in dose of herbal medications, alpha antagonist medications or other symptomatic treatments or medications within 3 months prior to Screening, and no change in dose of 5 alpha reductase inhibitors within 6 months of Screening. 3. Has a history of surgery to correct stress urinary incontinence, pelvic organ prolapse, or procedural treatments for BPH within 6 months of Screening. 4. Has current history or evidence of Stage 2 or greater pelvic organ prolapse (prolapse extends beyond the hymenal ring). 5. Patient is currently using a pessary for the treatment of pelvic organ prolapse. 6. Has a known history of elevated post-void residual volume defined as greater than 150 mL. 7. Has undergone bladder training or electrostimulation within 28 days prior to Screening or plans to initiate either during the study. 8. Has an active or recurrent (> 3 episodes per year) urinary tract 5 white ulture, defined as 105 specimen). Patients diagnosed with a urinary tract infection (UTI) at the Screening Visit may be treated and re-screened once the infection has resolved. 9. Has a requirement for an indwelling catheter or intermittent catheterization. 10. Has received an intradetrusor injection of botulinum toxin within 9 months prior to Screening."
18,page_18,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 19 Other Medical History 11. Has uncontrolled hyperglycemia (defined as fasting blood glucose > 150 mg/dL or 8.33 mmol/L and/or non-fasting blood glucose > 200 mg/dL or 11.1 mmol/L) or, if in the opinion of the Investigator, is uncontrolled. 12. Has evidence of diabetes insipidus. 13. Is pregnant, breast-feeding, or is planning to conceive within the projected duration of the study. 14. Has a concurrent malignancy or history of any malignancy within 5 years prior to signing informed consent, except for adequately treated basal cell or squamous cell skin cancer or in situ cervical cancer. 15. Has uncontrolled hypertension (systolic blood pressure of 180 100 mmHg) or has a resting heart rate (by pulse) > 100 beats per minute. 16. 160 mmHg but < 180 mmHg are excluded, unless deemed by the Investigator and/or Medical Monitor as safe to proceed in this study and able to complete the study per protocol; these patients must be on stable hypertension medication for at least 90 days. 17. All patients with signs and symptoms of uncontrolled hypertension, regardless of blood pressure measurement, are excluded from the study. These include, but are not limited to neurological symptoms or findings, hematuria, proteinuria, retinopathy, unstable angina, and acute heart failure. 18. Has narrow angle glaucoma (primary open angle glaucoma is not excluded). 19. Has a history of cerebral vascular accident, transient ischemic attack, unstable angina, myocardial infarction, coronary artery interventions (e.g., coronary artery bypass grafting or percutaneous .g., neurovascular interventions (e.g., carotid artery stenting) within 6 months prior to the Screening Visit. Patients with these conditions should be on stable medical therapy for at least 3 months prior to the Screening Visit. 20. Has a known history of liver disease. 21. Has a history of injury, surgery, or neurodegenerative diseases (e.g., multiple sclerosis, Parkinson’s) that could affect the lower urinary tract or its nerve supply."
19,page_19,"Clinical Study Protocol RVT-901-3003 Urovant Sciences GmbH Effective: 15 NOV 2018 Confidential Page | 20 Laboratory/Procedure History 22. Has hematuria, including microscopic hematuria (> 5 red blood hematuria may participate. Documentation must be obtained indicating an unremarkable upper urinary tract (kidneys and ureters) imaging study (e.g., with and without contrast, renal ultrasound, magnetic resonance etc.) and cystoscopy. Patients whose hematuria has not been previously evaluated may not be enrolled. 23. Has clinically significant electrocardiogram (ECG) abnormality that, in the opinion of the Investigator, exposes the patient to risk by participating in the study. 24. Has alanine aminotransferase or aspartate aminotransferase > 2.0 times the upper limit of normal (ULN), or bilirubin (total bilirubin) > 1.5 x ULN (or > 2.0 x ULN if secondary to Gilbert syndrome or pattern consistent with Gilbert syndrome). 25. Has clinically significant laboratory abnormality (from the Screening Visit results) that remains unresolved after repeat testing (Refer to Algorithm for Laboratory Testing Appendix B ) or that could confound the results of the study or indicate that it is not in the best interest of the patient to participate. 26. Has an estimated glomerular filtration rate (eGFR) < 30 mL/min/1.73 m2. Medication History 27. Use of any prohibited medications as detailed in Section 7.9.3 (suitable washout periods from these medications are also described therein). 28. Had changed the dose of any medications listed in Section 7.9.5 within 4 weeks prior to the Baseline Visit, or plans to initiate or change the dosing of any of these medications during the study. 29. Has an allergy, intolerance, or a history of a significant clinical or laboratory adverse experience associated with any of the active or inactive components of the vibegron formulation or tolterodine formulation. Other 30. Is currently participating or has participated in a study with an investigational compound or device within 28 days prior to signing informed consent. 31. Is currently participating in or has participated in a study with vibegron. 32. Has a history of significant drug or alcohol abuse/dependence within a year prior to informed consent, as assessed by the investigator. 33. Has a varying sleep schedule anticipated during times when the voiding diaries are to be completed."
