short_name,long_name
CNS-LS,Center for Neurologic Study-Lability Scale
"CGI-I, CGI-S, CGI-C and CGI-E","Clinical Global Impressions scale - Improvement, Severity,..."
FAMS,Functional Assessment of Multiple Sclerosis
ADCS-ADL,Alzheimer's Disease Cooperative Study - Activities of Daily Living
UPDRS,Unified Parkinson's Disease Rating Scale
EORTC QLQ-CR29,EORTC Quality of Life Questionnaire - Colorectal Cancer Module
EORTC QLQ-LMC21,EORTC Quality of Life Questionnaire - Liver Metastases Colorectal Module
MOxFQ,The Manchester-Oxford Foot Questionnaire
EORTC QLQ-EN24,EORTC Quality of Life Questionnaire - Endometrial Cancer Module
EORTC QLQ-STO22,EORTC Quality of Life Questionnaire - Gastric Cancer Module
EORTC QLQ-ELD14,EORTC Quality of Life Questionnaire - Elderly Cancer Patients Module
EORTC QLQ-INFO25,EORTC Quality of Life Questionnaire - Information Module
EORTC QLQ-GI.NET21,EORTC Quality of Life Questionnaire - Neuroendocrine Carcinoid Module
EORTC QLQ-OES18,EORTC Quality of Life Questionnaire - Oesophageal Cancer Module
EORTC QLQ-OG25,EORTC Quality of Life Questionnaire - Oesophago-Gastric Module
OxAFQ-C,The Oxford Ankle Foot Questionnaire for Children
MFPDI,The Manchester Foot Pain Disability Index
EBMT,European Group for Blood and Marrow Transplantation
FACT-Leu,Functional Assessment of Cancer Therapy - Leukemia
OAB-S,Overactive Bladder Satisfaction Questionnaire version 3.0
ODQ,Oxford Depression Questionnaire
MCQ,Mild Cognitive Impairment Questionnaire
AIA,Activity Impairment Assessment
UTISA,Urinary Tract Infection Symptom Assessment
ARCI-49,Addiction Research Center Inventory 49 check-list
DRSP,Daily Record of Severity of Problems
OMDQ,Oral Mucositis Daily Questionnaire
EXACT,Exacerbation of Chronic Pulmonary Disease Tool
MTWS,Minnesota Tobacco Withdrawal Scale
ZBPI,Zoster Brief Pain Inventory
MiniPAQLQ,Mini Paediatric Asthma Quality of Life Questionnaire
IES,Impact of Event Scale
BACRI,Bristol-Myers Anorexia/Cachexia Recovery Instrument
UC-CD Health Status,Ulcerative Colitis and Crohn's Disease Health Status Scales
FBDSI,Functional Bowel Disorder Severity Index
CD-QOL,Celiac Disease Quality of Life Measure
SAT-37,Satisfaction with Care Scale
IBS-SSS,Irritable Bowel Syndrome Severity Scoring System
Trauma Questionnaire,Trauma Questionnaire
RPSQ,Recent Physical Symptoms Questionnaire
CMCQ,Comorbid Medical Conditions Questionnaire
FQ,Fear Questionnaire
EORTC QLQ-CLL17,EORTC Quality of Life Questionnaire - Chronic Lymphocytic Leukaemia Modu...
PKU-QOL,Phenylketonuria impact and treatment Quality Of Life Questionnaire
WPS-RA,Rheumatoid arthritis-specific Work Productivity Survey
FAS,Fatigue Assessment Scale
PEP,Premature Ejaculation Profile
SEI,Smoking Effects Inventory
IPE,Index of Premature Ejaculation
OR-SDS,Opioid-Related Symptom Distress Scale
mBPI-e,Modified Brief Pain Inventory-exploratory form
MIQ,Menorrhagia Impact Questionnaire
CASA-Q,Cough And Sputum Assessment Questionnaire
PPSM,Patient Perception of Study Medication
FMDRS,Fahn-Marsden Dystonia Rating Scale
TSQ-G,Treatment Satisfaction Questionnaire for Gastro-oesophageal reflux disease
PBI-S,Patient Benefit Index - Standard
MSTCQ,Multiple Sclerosis Treatment Concerns Questionnaire
OPSAT-Q,Osteoporosis Patient Satisfaction Questionnaire
TSS-IOP,Treatment Satisfaction Survey for Intraocular Pressure
PFS,Parkinson Fatigue Scale
Haemo-QOL,Haemophilia Quality of Life Questionnaire for Children
CHES-Q,Current Health Satisfaction Questionnaire
NMSQuest,Non-motor Symptoms Questionnaire
Haem-A-QoL,Haemophilia Quality of Life Questionnaire for Adults
BOMC,Blessed Orientation-Memory-Concentration Test
NMSS,Non-motor Symptoms Scale
CSDD,Cornell Scale for Depression in Dementia
CDI,Children's Depression Inventory
LupusQoL,Lupus Quality Of Life
PARS,Pediatric Anxiety Rating Scale
SDS,The Zung Self-rating Depression Scale
HRPQ,Health Related Productivity Questionnaire
NOSGER,Nurses' Observation Scale for Geriatric Patients
PDQ,Peyronie's Disease Questionnaire
E-RS,Evaluating Respiratory Symptoms
CFRSD,Cystic Fibrosis Respiratory Symptom Diary
RMBPC,Revised Memory and Behavior Problem Checklist
FRI Index,Functional Reading Independence Index
BEHAVE-AD,Behavioral Symptoms in Alzheimer's Disease
EDSQ,Eye-Drop Satisfaction Questionnaire
Bt-DUX,DUX Questionnaire for lower extremity bone tumor
FAQ,Functional Activities Questionnaire
NFLymSI-18,National Comprehensive Cancer Network Functional Assessment of CancerTherapy ...
FACT-Lym,Functional Assessment of Cancer Therapy - Lymphoma
ABC-2,Aberrant Behavior Checklist Second Edition
AIR,Anxiety Inventory for Respiratory disease
CASI,Cognitive Abilities Screening Instrument
AALS,Appel ALS Rating Scale
BARS,Barnes Akathisia Rating Scale
VVSymQ®,Varicose Veins Symptoms Questionnaire
VSRQ,Visual Simplified Respiratory Questionnaire
BASC,Brief Assessment Scale for Caregivers
BASIQ,Brain Metastases Symptom and Impact Questionnaire
ESS-CHAD,Epworth Sleepiness Scale - Child Adolescent
VascuQoL,Vascular Quality of Life Questionnaire
TSS,Patient and Partner Treatment Satisfaction Scale in Erectile Dysfunction
IIQ-7,Incontinence Impact Questionnaire - Short Form
FKSI-10,Functional Assessment of Cancer Therapy-Kidney Symptom Index
ICSI-ICPI,Interstitial Cystitis Symptom Index and Problem Index
COMPASS 31,Composite Autonomic Symptom Score 31
FTFQ,First Time Fathers Questionnaire
DIRECT,DIsability RElated to COPD Tool
EARNS-Q,The Experience with Allergic Rhinitis Nasal Spray Questionnaire
SVS,Stress Vulnerability Scale
S-STS,Sheehan - Suicidality Tracking Scale
FES-I,Falls Efficacy Scale-International
S-TOFHLA,Short-Test of Functional Health Literacy in Adults
FARS,Friedreich's Ataxia Rating Scale
FGVS,Freedom from Glasses Value Scale
Short FES-I,Short Falls Efficacy Scale-International
Sec QoL,Spanish society of contraception quality-of-life
HPN-QoL,Home Parenteral Nutrition - Quality of Life
FertiQoL,Fertility Quality of Life
FPI,Fertility Problem Inventory
CarGOQoL,CareGiver Oncology Quality of Life questionnaire
COPD-PS™,COPD Population Screener™
FLACC,"Face, Legs, Activity, Cry, Consolability Behavioral Scale"
SOWS,Subjective Opiate Withdrawal Scale
OOWS,Objective Opiate Withdrawal Scale
SNOT,Sino-Nasal Outcome Test
SLUMS,St Louis University Mental Status Examination
SIS,Sheehan Irritability Scale
BES,Binge Eating Scale
EES,Emotional Eating Scale
VPS,Vitality Plus Scale
SIAQ,Self-Injection Assessment Questionnaire
LDQOL,Liver Disease Quality of Life Questionnaire
LDSI,Liver Disease Symptom Index
EBAS,Environmental Barriers to Diabetes-regimen Adherence
NFKSI-19,National Comprehensive Cancer Network Functional Assessment of Cancer Therapy -...
VSSS,Verona Service Satisfaction Scale
VECS,Verona Expectations for Care Scale
OPQOL,Older People's Quality of Life
ThyPRO,Thyroid-specific patient reported outcome
CDIS,Clock Drawing Interpretation Scale
CFQ,Cognitive Failures Questionnaire
LATCH,A breast feeding Charting System and Documentation Tool
PPSC,Play Performance Scale for Children
PPPASI,Palmoplantar Pustular Psoriasis Area and Severity Index
SAS,Simpson Angus Scale
CDSS,Calgary Depression Scale for Schizophrenia
ISE,lnfertility Self-Efficacy scale
EES-C,Emotional Eating Scale in Children and Adolescents
MASQ,Multiple Ability Self-Report Questionnaire
QUIP,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease
QUIP-RS,Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease–Rating S...
ESRS,Extrapyramidal Symptom Rating Scale
WCQ,Worthing Chemotherapy Questionnaire
SF-10™,SF-10™ Health Survey for Children
HIT-6™,Headache Impact Test™
SQLS,Schizophrenia Quality of Life Scale
PsARC,Psoriatic Arthritis Response Criteria
PBQ,Patient Benefit Questionnaire
SAL,Sexual Activity Log
PDS©,Personal Distress Scale©
Mayo,Mayo Score
UCDAI,Ulcerative Colitis Disease Activity Index
CBSQ,Chronic Bronchitis Symptom Questionnaire
CADS-T,Conners ADHD/DSM-IV™ Scale for Teachers
SNAP-ADHD,"Swanson, Nolan, and Pelham Rating Scale for ADHD"
JIA or Pediatric ACR30/50/70,Pediatric American College of Rheumatology criteria
DESS,Discontinuation Emergent Signs and Symptoms scale
SexFX Female version,Sex Effects scale Female version
Boyarsky Index,Boyarsky Index
DAI,Sutherland Disease Activity Index
STAR,Soft Tissue Anesthesia Recovery
SES-CD,Simplified  Endoscopic Disease Severity Score for Crohn's Disease
IOC v2,Impact of Cancer Version 2
PASS-20,Pain Anxiety Symptoms Scale Short Form 20
NCS,Nurse Competence Scale
SDSC,Sleep Disturbance Scale for Children
ITEQ,Insulin Treatment Experience Questionnaire
AOM-Diary,Acute Otitis Media Symptoms Diary
AHLQ,Adherence to a Healthy Lifestyle questionnaire (including Food Questionnaire module...
LCQ,Lifestyle Changes Questionnaire
HINE,Hammersmith Infant Neurological Examination
CHOP INTEND,Children's Hospital of Philadelphia Infant Test of Neuromuscular Disorders
MoCA,Montreal Cognitive Assessment
FACT-M,Functional Assessment of Cancer Therapy - Melanoma
ÖMSQ,Örebro Musculoskeletal Screening Questionnaire
ÖMSQ-12,Örebro Musculoskeletal Screening Questionnaire-12
LLFI-10,Lower Limb Functional Index-10
SFI-10,Spine Functional Index-10
ULFI-10,Upper Limb Functional Index-10
LCSS-Meso,Lung Cancer Symptom Scale-Mesothelioma
RUD,Resource Utilization in Dementia
ACSS,Acute Cystitis Symptom Score
SANDS,Self-Administered Nicotine-Dependence Scale
LWDS-11,Lebanon Waterpipe Dependence Scale
TDS,Tobacco Dependence Screener
GN-SBQ,Glover-Nilsson Smoking Behavioral Questionnaire
HSI,Heaviness of Smoking Index
MRC Muscle scale,Medical Research Council Muscle scale
RUD-Lite,Resource Utilization in Dementia - Lite Version
RFS,Reasons for Smoking Scale
OHA-Q,Oral Hypoglycemic Agent Questionnaire
A-OCDS,Obsessive Compulsive Drinking Scale - Adolescent version
mHTS,modified Horn-Russell Tobacco Scale
MAX-PC,Memorial Anxiety Scale for Prostate Cancer
PSI,Psoriasis Symptom Inventory
KTSND,Kano Test for Social Nicotine Dependence
ADPKD-PDS,Autosomal Dominant Polycystic Kidney Disease Pain and Discomfort Scale
ADPKD-IS,Autosomal Dominant Polycystic Kidney Disease Impact Scale
ETDQ-7,Eustachian Tube Dysfunction Questionnaire
SART,Sustained attention to response task
mTDS,Modified Teacher's Drooling Scale
ASAS 5/6,Assessment in Ankylosing Spondylitis response criteria
INTU,Impact of Nighttime Urination Questionnaire
CDAI,Clinical Disease Activity Index
BCPT,Breast Cancer Prevention Trial Symptom Checklist
BCTOS,Breast Cancer Treatment Outcome Scale
RUD-FOCA,Resource Utilization in Dementia-Formal Care
ADPKD-UIS,Autosomal Dominant Polycystic Kidney Disease Urinary Impact Scale
DIVA,Déterminants des Intentions de VAccination
HSSA,Hidradenitis Suppurativa Symptom Assessment
PsAID,Psoriatic Arthritis Impact of Disease
ACR-N,American College of Rheumatology N
DSDS,Diabetes Semantic Differential Scales
RPS-DD,Risk Perception Survey for Developing Diabetes
BPIC-SS,Bladder Pain/Interstitial Cystitis Symptom Score
PPBC,Patient Perception of Bladder Condition
SAGA,Self-Assessment Goal Achievement questionnaire
BSW,"Benefit, Satisfaction, and Willingness to Continue Treatment"
UPS,Urgency Perception Scale
ASFQ,Abbreviated Sexual Function Questionnaire
HSDD,Hypoactive Sexual Desire Disorder
SFQ,Sexual Function Questionnaire
mNAPSI,modified Nail Psoriasis Severity Index
FluiiQ™,Influenza Intensity and Impact Questionnaire™
AIMS,Abnormal Involuntary Movement Scale
GOSE,Extended Glasgow Outcome Scale
SMETT,Sub-maximal Constant-load Cycle Ergometry Test
EPBD,Endometriosis Pain and Bleeding Diary
ETSQ,Endometriosis Treatment Satisfaction Questionnaire
FSD,Fibroid Symptom Diary
PD-Q,painDETECT Questionnaire
CSHQ,Children's Sleep Habits Questionnaire
AUTOS,Autonomy Over Smoking Scale
BPRS-C,Brief Psychiatric Rating Scale for Children
HAM-D24,24-Item Hamilton Rating Scale for Depression
WHO-FC,World Health Organization Functional Classification system for pulmonary hyperten...
PANSS-EC or PEC,PANSS - Excited Component scale
HFRE,Histologic Features of Reflux Esophagitis
PGA-IGA,Physician's Global Assessment Scale or Investigator's Global Assessment Scale in...
OAA/S,Observer's Assessment of Alertness/Sedation Scale
GEA,Global Eyelash Assessment scale
MMDAI,Modified Mayo Disease Activity Index
RSS,Ramsay Sedation Scale
NIS-LL,Neuropathy Impairment Score-Lower Limb
SWOG Criteria,Southwest Oncology Group criteria
NCIWG,National Cancer Institute Working Group Guidelines
YMRS,Young Mania Rating Scale
SADS,Schedule for Affective Disorders and Schizophrenia
OPDREC,Objective Primary Disease Response Evaluation Criteria
WHO Bleeding Scale,World Health Organization Bleeding Scale
AISRS,Adult ADHD Investigator Rating Scale
T25FW,Timed 25-Foot Walk
SELENA-SLEDAI,Systemic Lupus Erythematosus Disease Activity Index
DSM-IV,"Diagnostic and Statistical Manual of Mental Disorders, 4th edition"
HAM-D28,28-Item Hamilton Rating Scale for Depression
Acro-TSQ,Acromegaly Treatment Satisfaction Questionnaire
VAS-SPID,Visual Analog Scale Sum of Pain Intensity Differences
LEI,Leeds Enthesitis Index
SPARCC Enthesitis Index,Spondyloarthritis Research Consortium of Canada Enthesitis Index
TOSS,Total Ocular Symptom Score
DCMS,Diagnostic criteria for multiple sclerosis
ADIQ,Atopic Dermatitis Impact Questionnaire
CGI-SCA,Clinical Global Impression for Schizoaffective Disorder Scale
UICC TNM Classification 8th ed.,TNM Classification of Malignant Tumours 8th edition
MWT,Maintenance of Wakefulness Test
MSLT,Multiple Sleep Latency Test
MINI,Mini-International Neuropsychiatric Interview
ACR/EULAR 2011 Remission Criteria,ACR/European League Against Rheumatism 2011 Remission ...
ACSA,Amphetamine Cessation Symptom Assessment
12MD,12-Minute Walking Test
3MSCT,3–Minute Stair Climb Test
Banff 97,Banff 97 working classification of renal allograft pathology
MDS IWG,Myelodysplastic Syndromes - International Working Group Guidelines
WFIRS-P,Weiss Functional Impairment Rating Scale–Parent Report
CAARS™,Conners' Adult ADHD Rating Scale™
FACT-O,Functional Assessment of Cancer Therapy - Ovarian Cancer
NFOSI-18,National Comprehensive Cancer Network Functional Assessment of Cancer Therapy -...
BGP or BOP,Behavioral Rating Scale in Geriatric Patients or Beoordelingsschaal voor Oude...
YGTSS,Yale Global Tic Severity Scale
B&amp;B Scale,Biberoglu and Behrman Scale
PCWG2 criteria,Prostate Cancer Clinical Trials Working Group 2 criteria
Ashworth Scale,Ashworth Scale
SIGH-SAD,Structured Interview Guide for the Hamilton Depression Rating Scale - Seasonal ...
HD Classification,Hetzel-Dent Classification
LA Classification,Los Angeles Classification of Esophagitis
DSST,Digit Symbol Substitution Test
UPSA,University of California San Diego Performance-Based Skills Assessment
CPFQ,Cognitive and Physical Functioning Questionnaire
MPN-SAF TSS,MyeloProliferative Neoplasm Symptom Assessment Form Total Symptom Score
"PGI-C, PGI-I, PGI-S","Patient Global Impressions scale - Change, Improvement, Severity"
Cairo-Bishop criteria,Cairo-Bishop criteria
CGAS,Children's Global Assessment Scale
GBI,General Behavior Inventory
Response Assessment for Waldenström Macroglobulinae,Response Assessment for Waldenström ...
iwCLL Response Criteria,International Workshop on Chronic Lymphocytic Leukemia Response ...
NCCN,National Comprehensive Cancer Network response criteria
CARIFS,Canadian Acute Respiratory Illness and Flu Scale
EORTC-MSG criteria,European Organization for Research and Treatment of Cancer Mycoses st...
FACT-CNS,Functional Assessment of Cancer Therapy - Central Nervous System
mPOMA-G,Modified Performance Oriented Mobility Assessment-Gait
WED,Well-being Enquiry for Diabetics questionnaire
CSI,Caregiver Strain Index
MFM-20,Motor Function Measure scale-Short Form
MDQ,Mood Disorder Questionnaire
CALI,Child Activity Limitations Interview
FDI-Child Form,Functional Disability Inventory - Child Form
NSAA,North Star Ambulatory Assessment
BF-Diary,Bowel Function Diary
TRACK,Test for Respiratory and Asthma Control in Kids
The Brooke scale,The Brooke scale
The Vignos Scale,The Vignos Scale
LCADL,London Chest Activity of Daily Living scale
NEADL,Nottingham Extended Activities of Daily Living
BODE index,"Body-Mass Index, Airflow Obstruction, Dyspnea, and Exercise Capacity Index"
SADQ,Severity of alcohol dependence questionnaire
MMT,Manual Muscle Testing
OCDS,Obsessive Compulsive Drinking Scale
ADS,Alcohol Dependence Scale
POQOLS,Pediatric Oncology Quality of Life Scale
AI,(Hauser) Ambulation Index
GOS,Global Overall Symptom scale
FSS,Kurtzke Functional Systems Scores
MPAI-4,Mayo-Portland Adaptability Inventory
PDQ-Carer,Parkinson's Disease Questionnaire for Carer
ADCS-ADL MCI18,Alzheimer's Disease Cooperative Study-Activities of Daily Living - Mild C...
CQLQ,Caregiver Quality Of Life Questionnaire (Physical &amp; Emotional)
PQLQ-PM,Patient Quality Of Life Questionnaire (Physical &amp; Emotional) - Peritoneal Malign...
PQLQ-S,Patient Quality Of Life Questionnaire (Physical &amp; Emotional) - Sarcoma
MELD,Model for End Stage Liver Disease Scale
FTND-ST,Fagerström Test for Nicotine Dependence for Smokeless Tobacco Users
FACT-C,Functional Assessment of Cancer Therapy-Colorectal cancer
BASRI-s,Bath Ankylosing Spondylitis Radiology Index - Spine
BIDR-16,Balance Inventory of Desirable Responding - Short Form
FACT-Bl,Functional Assessment of Cancer Therapy - Bladder cancer
GALES,The Geriatric Adverse Life Events Scale
PAH-SYMPACT,Pulmonary Arterial Hypertension-Symptoms and Impact (PAH-SYMPACT) Questionna...
SMAQ,Simplified Medication Adherence Questionnaire
MASRI,Medication Adherence Self-Report Inventory
ModRey,Modified Rey Auditory Verbal Learning Test (Standard Form)
PDQ-D,Perceived Deficits Questionnaire – Depression
CFQoL,Cystic Fibrosis Quality of Life
WPAI:CD,Work Productivity and Activity Impairment Questionnaire in Crohn's Disease
BARS,Brief Adherence Rating Scale
mRS,modified Rankin Scale
PANAS,Positive and Negative Affect Schedule
PDDS,Patient Determined Disease Steps
RPQ,Rivermead Post-Concussion Symptoms Questionnaire
MGC,Myasthenia Gravis Composite
MG-QoL15,Myasthenia Gravis Quality of Life 15-item Scale
DRS-PI,Disability Rating Sale – Postacute Interview
ZKPQ III-R,Zuckerman-Kuhlman Personality Questionnaire III-Revised
KDQ,Kidney Disease Questionnaire
Liq.In7 record,Liquid Intake 7-Day Record
RLIES,Revised Liverpool Impact of Epilepsy Scale
Neuro-QOL,Quality of Life in Neurological Disorders
cGVHD Symptom Scale,Lee Chronic Graft-versus-Host Disease Symptom Scale
HiSCR,Hidradenitis Suppurativa Clinical Response
Neuro-QOL SF,Quality of Life in Neurological Disorders - Short forms
SCI-QOL,Spinal Cord Injury – Quality of Life
TBI-QOL,Traumatic Brain Injury – Quality of Life
HD-PRO-TRIAD™,HD-PRO-TRIAD™
PBPI,Pain Beliefs and Perceptions Inventory
C-CAP1,Cardiff Cardiac Ablation PROM - Pre-ablation
CVAQC,Cardiff Visual Ability questionnaire for Children
RIPS,Riley Infant Pain Scale
RASP,Relapse Assessment for Schizophrenia Patients
Haemo-QoL-A,Hemophila-specific Quality of Life Questionnaire for Adults
PDQ-8,Parkinson's Disease Questionnaire - 8
Haemo-SYM,Haemo-SYM
VAQ,Visual Activities Questionnaire
LLQ,Low Luminance Questionnaire
CVFQ,Children's Visual Function Questionnaire
NSA-4,Negative Symptom Assessment
BPI-SF,Brief Pain Inventory - Short form
BOT-2,Bruininks-Oseretsky Test of Motor Proficiency Second Edition
QLiS,Quality of Life in Schizophrenia
SOAPP-R,Screener and Opioid Assessment for Patients with Pain - Revised version
SWLS,Satisfaction With Life Scale
SCS,Symptom Catastrophizing Scale
TMT,Trail Making Test
FTS,Facial Lines Treatment Satisfaction Questionnaire
FBI,Family Burden Ichthyosis questionnaire
CushingQoL,Cushing's disease quality of life instrument
HDISS-DU,Hand Disability In Systemic Sclerosis - Digital Ulcers
FQOL,Beach Center Family Quality of Life Scale
ABS,Atopic dermatitis Burden Scale
ABS-A,Atopic dermatitis burden scale for Adults
PSST,Premenstrual Symptoms Screening Tool
GRCQ,Global Ratings of Change Questionnaire
PCOSQ,Polycystic Ovary Syndrome Questionnaire
PDAI,Perianal Disease Activity Index
ABC-DS,ABC Dementia Scale
CHEQOL,Health Related Quality of Life in Children with Epilepsy - Parent proxy response ...
SOAPP,Screener and Opioid Assessment for Patients with Pain
MLMT,Multi-Luminance Mobility Test
FST,Full-field Stimulus Testing
ModRey,Modified Rey Auditory Verbal Learning Test (Alternate version)
WoRQ,Readiness for Work Questionnaire
FACIT-D,Functional Assessment of Chronic Illness Therapy for Patients With Diarrhea
FCSI,Functional Assessment of Cancer Therapy - Colorectal Cancer Symptom Index - 9 Item ...
NFCSI-19,National Comprehensive Cancer Network Functional Assessment of Cancer Therapy C...
MSKCC BFI,Memorial Sloan Kettering Cancer Centre Bowel Function Instrument
LARS Score,Low Anterior Resection Syndrome Score
Wexner Scale,Wexner Cleveland Clinic Incontinence Score
ODS Score,Obstructed Defaecation Syndrome Score
PGH-7 Child-Report Form,PROMIS - Pediatric Global Health Child-Report Form
EHS,Erection Hardness Scale
PEDT,Premature Ejaculation Diagnostic Tool
QEQ,Quality of Erection Questionnaire
SCQ,Schizophrenia Caregiver Questionnaire
IEQ,Injustice Experience Questionnaire
EORTC QLQ-CIPN20,EORTC Quality of Life - Chemotherapy-Induced Peripheral Neuropathy
SQOL-M,Sexual Quality of Life - Men
DFS-FIBRO,Daily Diary of Fatigue Symptoms – Fibromyalgia
SQOL-F,Sexual Quality of Life - Female
QoLISSY,Quality of Life in Short Stature Youth
PPQSA,Partner-Patient Questionnaire for Shared Activities
HaemoPREF,Patient Perception and Preference for Haemophilia Treatment
AUDIT,Alcohol Use Disorders Identification Test Questionnaire
IEQ-SF,Injustice Experience Questionnaire - Short Form
RAVLT,Rey Auditory Verbal Learning Test
BLCS,Bladder Control Scale
BWCS,Bowel Control Scale
HONC,The Hooked on Nicotine Checklist
MINI Kid,Mini-International Neuropsychiatric Interview for Children and Adolescents
A-LPQ / A-PPMRT,Angle Labor Pain Questionnaire / Angle Pictorial Pain Mapping &amp; Pain Ran...
COMM,Current Opioid Misuse Measure
CRS-R,JFK Coma Recovery Scale - Revised
CHART and CHART-SF,Craig Handicap Assessment and Reporting Technique and Craig Handicap ...
HSIA,Hidradenitis Suppurativa Impact Assessment
DRS,Disability Rating Scale
RESQ-7,"Reflux Symptom Questionnaire, 7 day recall"
RESQ-eD,Reflux Symptom Questionnaire e-Diary
RDQ,Reflux Disease Questionnaire
AFSymp™,Atrial Fibrillation Symptoms Questionnaire™
AFImpact,Atrial Fibrillation Impact Questionnaire
BCSS,"The Breathlessness, Cough and Sputum Scale"
MASQ,Morning Activity and Symptoms Questionnaire
CDLM,Capacity of Daily Living during the Morning
GSRS - IBS,Gastrointestinal Symptom Rating Scale - Irritable Bowel Syndrome
mSCQ,modified Smoking Consequences Questionnaire
MASQ,Mood and Anxiety Symptom Questionnaire
SSSC,Sensation Seeking Scale for Children
BASRI-h,Bath Ankylosing Spondylitis Radiology Index - Hip
RSES,Rosenberg Self-Esteem Scale
SSS-V,Zuckerman Sensation Seeking Scales - Form V
CUSPAD,Columbia University Scale for Psychopathology in Alzheimer's Disease
UPPS-P - Impulsive Behavior scale,"Urgency, Perseverance, Premeditation and Sensation See..."
RULM,Revised Upper Limb Module
API,Authoritative Parenting Index
KSS,Karolinska Sleepiness Scale
AIS,Athens Insomnia Scale
PBI,Peer Behavior Inventory
ALCES,Adolescent Life Change Events Scale
FOS-SF,Family of Origin Scale - Short Form versions
FACT-E,Functional Assessment of Cancer Therapy-Esophageal
RAP-Q,Risk &amp; Prevention Questionnaire-Revised
FES,Family Environment Scale
ADFLQ,Adolescent Drinking and Family Life Questionnaire
JTCI,Junior Temperament and Character Inventory
CTS2,Conflict Tactics Scale
7-PAR,7-day Physical Activity Recall
PACES,Physical ACtivity Enjoyment Scale
PSS-Fa,Perceived Social Support from Family
Close-Friend scale,Close-Friend scale
PACS,Parent-Adolescent Communication Scale
MSI,Minnesota Smoking Index
BASH,Brief Acculturation Scale for Hispanics
DES-SF,Diabetes Empowerment Scale Short Form
IKDC SKF,International Knee Documentation Committee Subjective Knee Evaluation Form
modified Lysholm Score,modified Lysholm Score
Get-Up &amp; Go Test,Get-Up and Go Test
BBS,Berg Balance Scale
PMSIS™,PreMenstrual Symptoms Impact Survey™
RIS-6™,Rhinitis Impact Survey™
AIS-6™,Asthma Impact Survey™
FACT-Ga,Functional Assessment of Cancer Therapy-Gastric
FAACT,Functional Assessment of Anorexia/CachexiaTreatment
AFEQT,Atrial Fibrillation Effect on QualiTy-of-Life
Flu-PRO©,InFLUenza Patient-Reported Outcome
WLQ-SF,Work Limitations Questionnaire - Short Form
IES-R,Impact of Event Scale-Revised
HSCL-58,Hopkins Symptom Checklist - 58 items
