,,Screening,,Placebo-Controlled,Phase,,,Apremilast,Extension,Phaseb,Post-Treatment Observational Follow-upd
23,Nail Assessment,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
24,NAPSI,NOT_SELECTED,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,SELECTED X,-
25,Modified sPGA-Gk,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,NOT_SELECTED -
26,PPPGAK,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,NOT_SELECTED -
27,Itch NRS,NOT_SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
28,Skin Discomfort/Pain VAS,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
29,PASI,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
30,BSA,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED -,SELECTED X,-
31,EQ-5D,SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED -,SELECTED -,SELECTED X,-
32,PNQ,SELECTED -,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,SELECTED -,NOT_SELECTED -,-
33,PBQ,SELECTED -,SELECTED -,SELECTED -,SELECTED X,SELECTED X,SELECTED -,SELECTED X,SELECTED -,SELECTED X,-
34,WPAI: PSO,SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,SELECTED -,SELECTED -,SELECTED -,SELECTED X,-
35,"Photography""",SELECTED -,SELECTED X,SELECTED -,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,SELECTED -,SELECTED X,-
36,Dispense IP,NOT_SELECTED -,SELECTED X,NOT_SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -,NOT_SELECTED -
37,Return and Count IP Tablets,NOT_SELECTED -,NOT_SELECTED -,SELECTED -,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT_SELECTED -
