,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Timeframe,,,,,,,,,,,,,,,,,,,,,,,,
,Assessment/Measure,No. Questions,Screening,Baseline,Complete Online course,One month after Online course,6 months after Online course,12 months after Online course,2.5 years after Online course,,,,,,,,,,,,,,,,,,,,,,
,Informed consent,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Age,1,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,MS type diagnosed,2,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,MS duration,2,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Do you follow a MS-specific lifestyle program?,2,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED  X,,,,,,,,,,,,,,,,,,,,,,
,Do you follow a MS-specific diet,2,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Sex and gender,2,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Residential address and country,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Country of birth,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Height/weight,2,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Comorbidities,2,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Marital status,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Education,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Employment status,1,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Alcohol and smoking,4,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Medications,4,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Perceived Social Support,12,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Lifestyle factors,,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Physical activity: IPAQ-SF,7,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Meditation: MAQ,3,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Sun exposure,4,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Diet quality: DHQ,21,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,"Omega-3 intake: dose, frequency",3,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,"Vitamin D intake: dose, frequency",3,SELECTED  X,NOT SELECTED X,NOT SELECTED X,SELECTED  X,SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Health outcomes,,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,HRQOL: MSQOL-54,54,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Disability: PDDS,1,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Anxiety and depression: HADS,14,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Fatigue: FSS,9,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED  X,SELECTED X,SELECTED  X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Self-efficacy: UWSE-6,6,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,Qualitative interviewing,-7,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,week 1,week 2,week 5 ,week 10 ,week 20 ,week 35,Post study completion,,,,,,,,,,,,,,,,,,,,,,,,
HRQOL: MSQOL-54,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Disability: PDDS,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue: FSS,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety and depression: HADS,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Self-efficacy: UWSE-6,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Age,SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
MS type diagnosed,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
MS duration,SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Do you follow a MS-specific lifestyle program?,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Do you follow a MS-specific diet,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Sex and gender,SELECTED X,NOT SELECTED X,SELECTED X,SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
Residential address and country,SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,NOT SELECTED X,SELECTED X,,,,,,,,,,,,,,,,,,,,,,,,
